f;t;r;value
Entero;1;1;51.53004848623686
Medio Pollo;1;1;67.97449286053099
Medio Pollo Superior;1;1;68.06551763901163
Medio Pollo Inferior;1;1;74.21856959484754
Cuarto de Pollo Superior;1;1;72.21573892097231
Muslo Entero;1;1;78.66131747370208
Pechuga Completa;1;1;74.0062199336638
Ala Completa;1;1;92.66813470501187
Media Pechuga;1;1;80.38682396127798
Blanqueta;1;1;107.06158979642322
Alón;1;1;111.13263743600618
Punta;1;1;115.8918925686841
Jamoncito;1;1;98.47937878690257
Medio Muslo;1;1;80.99516822055911
Entero;2;1;51.86904848623685
Medio Pollo;2;1;68.31349286053099
Medio Pollo Superior;2;1;68.40451763901162
Medio Pollo Inferior;2;1;74.55756959484752
Cuarto de Pollo Superior;2;1;72.55473892097234
Muslo Entero;2;1;79.00031747370208
Pechuga Completa;2;1;74.3452199336638
Ala Completa;2;1;93.00713470501186
Media Pechuga;2;1;80.72582396127798
Blanqueta;2;1;107.40058979642323
Alón;2;1;111.47163743600619
Punta;2;1;116.23089256868408
Jamoncito;2;1;98.81837878690256
Medio Muslo;2;1;81.3341682205591
Entero;3;1;52.20804848623686
Medio Pollo;3;1;68.65249286053097
Medio Pollo Superior;3;1;68.74351763901163
Medio Pollo Inferior;3;1;74.89656959484753
Cuarto de Pollo Superior;3;1;72.89373892097232
Muslo Entero;3;1;79.33931747370208
Pechuga Completa;3;1;74.6842199336638
Ala Completa;3;1;93.34613470501186
Media Pechuga;3;1;81.06482396127798
Blanqueta;3;1;107.73958979642322
Alón;3;1;111.81063743600617
Punta;3;1;116.56989256868408
Jamoncito;3;1;99.15737878690256
Medio Muslo;3;1;81.67316822055912
Entero;4;1;52.547048486236854
Medio Pollo;4;1;68.99149286053098
Medio Pollo Superior;4;1;69.08251763901161
Medio Pollo Inferior;4;1;75.23556959484755
Cuarto de Pollo Superior;4;1;73.23273892097232
Muslo Entero;4;1;79.67831747370208
Pechuga Completa;4;1;75.02321993366378
Ala Completa;4;1;93.68513470501188
Media Pechuga;4;1;81.40382396127798
Blanqueta;4;1;108.07858979642323
Alón;4;1;112.14963743600617
Punta;4;1;116.9088925686841
Jamoncito;4;1;99.49637878690257
Medio Muslo;4;1;82.0121682205591
Entero;5;1;52.88604848623686
Medio Pollo;5;1;69.33049286053098
Medio Pollo Superior;5;1;69.42151763901163
Medio Pollo Inferior;5;1;75.57456959484752
Cuarto de Pollo Superior;5;1;73.57173892097232
Muslo Entero;5;1;80.01731747370208
Pechuga Completa;5;1;75.3622199336638
Ala Completa;5;1;94.02413470501186
Media Pechuga;5;1;81.74282396127798
Blanqueta;5;1;108.41758979642321
Alón;5;1;112.48863743600616
Punta;5;1;117.2478925686841
Jamoncito;5;1;99.83537878690258
Medio Muslo;5;1;82.35116822055912
Entero;6;1;53.22504848623686
Medio Pollo;6;1;69.66949286053098
Medio Pollo Superior;6;1;69.76051763901161
Medio Pollo Inferior;6;1;75.91356959484753
Cuarto de Pollo Superior;6;1;73.91073892097234
Muslo Entero;6;1;80.35631747370209
Pechuga Completa;6;1;75.7012199336638
Ala Completa;6;1;94.36313470501186
Media Pechuga;6;1;82.08182396127799
Blanqueta;6;1;108.75658979642321
Alón;6;1;112.82763743600619
Punta;6;1;117.5868925686841
Jamoncito;6;1;100.17437878690257
Medio Muslo;6;1;82.6901682205591
Entero;7;1;53.564048486236864
Medio Pollo;7;1;70.00849286053098
Medio Pollo Superior;7;1;70.09951763901162
Medio Pollo Inferior;7;1;76.25256959484753
Cuarto de Pollo Superior;7;1;74.24973892097233
Muslo Entero;7;1;80.69531747370209
Pechuga Completa;7;1;76.0402199336638
Ala Completa;7;1;94.70213470501187
Media Pechuga;7;1;82.42082396127797
Blanqueta;7;1;109.09558979642323
Alón;7;1;113.16663743600617
Punta;7;1;117.9258925686841
Jamoncito;7;1;100.51337878690258
Medio Muslo;7;1;83.02916822055911
Entero;8;1;52.76539049558629
Medio Pollo;8;1;70.2614035703123
Medio Pollo Superior;8;1;69.9988072464656
Medio Pollo Inferior;8;1;76.58880986828974
Cuarto de Pollo Superior;8;1;74.15264788303924
Muslo Entero;8;1;81.02685311560866
Pechuga Completa;8;1;76.00899751936556
Ala Completa;8;1;94.24947779362842
Media Pechuga;8;1;82.38815492728244
Blanqueta;8;1;109.12511149405563
Alón;8;1;111.85900681812795
Punta;8;1;116.61620412548491
Jamoncito;8;1;100.5995901018892
Medio Muslo;8;1;83.50727345344943
Entero;9;1;68.53212145026652
Medio Pollo;9;1;70.60040357031228
Medio Pollo Superior;9;1;70.3378072464656
Medio Pollo Inferior;9;1;76.92780986828973
Cuarto de Pollo Superior;9;1;74.49164788303924
Muslo Entero;9;1;81.36585311560867
Pechuga Completa;9;1;76.34799751936558
Ala Completa;9;1;94.58847779362843
Media Pechuga;9;1;82.72715492728246
Blanqueta;9;1;109.46411149405564
Alón;9;1;113.45768917607022
Punta;9;1;117.75830897924202
Jamoncito;9;1;100.93859010188919
Medio Muslo;9;1;83.84627345344944
Entero;10;1;68.87112145026651
Medio Pollo;10;1;70.9394035703123
Medio Pollo Superior;10;1;70.6768072464656
Medio Pollo Inferior;10;1;77.26680986828974
Cuarto de Pollo Superior;10;1;74.83064788303923
Muslo Entero;10;1;81.70485311560866
Pechuga Completa;10;1;76.68699751936556
Ala Completa;10;1;94.92747779362841
Media Pechuga;10;1;83.06615492728245
Blanqueta;10;1;109.80311149405563
Alón;10;1;113.7966891760702
Punta;10;1;118.09730897924203
Jamoncito;10;1;101.2775901018892
Medio Muslo;10;1;84.18527345344944
Entero;11;1;69.21012145026651
Medio Pollo;11;1;71.27840357031229
Medio Pollo Superior;11;1;71.0158072464656
Medio Pollo Inferior;11;1;77.60580986828974
Cuarto de Pollo Superior;11;1;75.16964788303923
Muslo Entero;11;1;82.04385311560866
Pechuga Completa;11;1;77.02599751936557
Ala Completa;11;1;95.26647779362843
Media Pechuga;11;1;83.40515492728245
Blanqueta;11;1;110.14211149405561
Alón;11;1;114.1356891760702
Punta;11;1;118.09748455903106
Jamoncito;11;1;101.61658024597769
Medio Muslo;11;1;84.52427345344944
Entero;12;1;69.54912145026651
Medio Pollo;12;1;71.61740357031229
Medio Pollo Superior;12;1;71.3548072464656
Medio Pollo Inferior;12;1;77.94480986828974
Cuarto de Pollo Superior;12;1;75.50864788303923
Muslo Entero;12;1;82.38285311560865
Pechuga Completa;12;1;77.36499751936559
Ala Completa;12;1;95.60547779362841
Media Pechuga;12;1;83.74415492728247
Blanqueta;12;1;110.2953172301295
Alón;12;1;114.17418395521865
Punta;12;1;118.09748455903106
Jamoncito;12;1;101.95533636542062
Medio Muslo;12;1;84.86327345344942
Entero;13;1;69.88756080070154
Medio Pollo;13;1;71.95442683377404
Medio Pollo Superior;13;1;71.6938072464656
Medio Pollo Inferior;13;1;78.28380986828974
Cuarto de Pollo Superior;13;1;75.84764788303923
Muslo Entero;13;1;82.72185311560868
Pechuga Completa;13;1;77.70399751936557
Ala Completa;13;1;95.94447779362842
Media Pechuga;13;1;84.08315492728245
Blanqueta;13;1;110.2953172301295
Alón;13;1;114.17418395521865
Punta;13;1;118.09748455903106
Jamoncito;13;1;102.29433636542062
Medio Muslo;13;1;85.20227345344942
Entero;14;1;70.22449328109651
Medio Pollo;14;1;72.29342683377403
Medio Pollo Superior;14;1;72.0328072464656
Medio Pollo Inferior;14;1;78.62280986828975
Cuarto de Pollo Superior;14;1;76.18664788303923
Muslo Entero;14;1;83.06085311560868
Pechuga Completa;14;1;78.04299751936557
Ala Completa;14;1;96.28347779362842
Media Pechuga;14;1;84.42215492728245
Blanqueta;14;1;110.2953172301295
Alón;14;1;114.17418395521865
Punta;14;1;118.09748455903106
Jamoncito;14;1;102.63333636542062
Medio Muslo;14;1;85.54127345344942
Entero;15;1;69.6668527276522
Medio Pollo;15;1;71.73559233526284
Medio Pollo Superior;15;1;71.87798866181043
Medio Pollo Inferior;15;1;77.50134346542316
Cuarto de Pollo Superior;15;1;76.03276973455024
Muslo Entero;15;1;81.93931853081133
Pechuga Completa;15;1;78.01293796791039
Ala Completa;15;1;95.51083003965334
Media Pechuga;15;1;84.39198953734584
Blanqueta;15;1;110.2953172301295
Alón;15;1;114.17418395521865
Punta;15;1;118.09748455903106
Jamoncito;15;1;100.9828334013812
Medio Muslo;15;1;84.71734519041107
Entero;16;1;70.0058527276522
Medio Pollo;16;1;72.07166159673028
Medio Pollo Superior;16;1;72.21698866181043
Medio Pollo Inferior;16;1;77.84034346542316
Cuarto de Pollo Superior;16;1;76.37176973455024
Muslo Entero;16;1;82.27831853081135
Pechuga Completa;16;1;78.35193796791037
Ala Completa;16;1;95.84983003965334
Media Pechuga;16;1;84.7289389261135
Blanqueta;16;1;110.2953172301295
Alón;16;1;114.17418395521865
Punta;16;1;118.09748455903106
Jamoncito;16;1;101.32183340138121
Medio Muslo;16;1;85.05634519041107
Entero;17;1;70.3448527276522
Medio Pollo;17;1;72.41046959776935
Medio Pollo Superior;17;1;72.55598866181043
Medio Pollo Inferior;17;1;78.17894759010622
Cuarto de Pollo Superior;17;1;76.71032953870697
Muslo Entero;17;1;82.61731853081133
Pechuga Completa;17;1;78.69093796791037
Ala Completa;17;1;96.18883003965334
Media Pechuga;17;1;85.06793892611351
Blanqueta;17;1;110.2953172301295
Alón;17;1;114.17418395521865
Punta;17;1;118.09748455903106
Jamoncito;17;1;101.66083340138121
Medio Muslo;17;1;85.39534519041106
Entero;18;1;70.68385272765221
Medio Pollo;18;1;72.74918159932795
Medio Pollo Superior;18;1;72.89498866181042
Medio Pollo Inferior;18;1;78.51794759010622
