f;n;t;r;value
Entero;1;1;1;942.9999999999991
Medio Pollo;1;1;1;1042.000000000001
Medio Pollo Superior;1;1;1;1278.2258064516136
Medio Pollo Inferior;1;1;1;1140.2258064516127
Cuarto de Pollo Superior;1;1;1;1478.6129032258068
Muslo Entero;1;1;1;1326.2419354838712
Pechuga Completa;1;1;1;1895.677419354839
Ala Completa;1;1;1;828.1935483870966
Media Pechuga;1;1;1;2193.1935483870975
Blanqueta;1;1;1;7.688172043011036
Alón;1;1;1;3.7741935483863926
Punta;1;1;1;1.118279569893275
Jamoncito;1;1;1;1122.29362261578
Medio Muslo;1;1;1;1972.0053763440856
Entero;1;2;1;921.9999999999991
Medio Pollo;1;2;1;1021.5
Medio Pollo Superior;1;2;1;1258.8387096774195
Medio Pollo Inferior;1;2;1;1119.2580645161288
Cuarto de Pollo Superior;1;2;1;1458.8709677419356
Muslo Entero;1;2;1;1305.6612903225805
Pechuga Completa;1;2;1;1877.4193548387102
Ala Completa;1;2;1;810.5806451612916
Media Pechuga;1;2;1;2175.4838709677424
Blanqueta;1;2;1;0.0
Alón;1;2;1;0.0
Punta;1;2;1;0.0
Jamoncito;1;2;1;1097.7601408250803
Medio Muslo;1;2;1;1955.3763440860212
Entero;1;3;1;921.9999999999991
Medio Pollo;1;3;1;1021.5
Medio Pollo Superior;1;3;1;1260.0
Medio Pollo Inferior;1;3;1;1119.2580645161288
Cuarto de Pollo Superior;1;3;1;1458.8709677419356
Muslo Entero;1;3;1;1304.82258064516
Pechuga Completa;1;3;1;1876.9354838709678
Ala Completa;1;3;1;810.3870967741932
Media Pechuga;1;3;1;2175.0
Blanqueta;1;3;1;0.0
Alón;1;3;1;0.0
Punta;1;3;1;0.0
Jamoncito;1;3;1;1095.311827956989
Medio Muslo;1;3;1;1955.9139784946228
Entero;1;4;1;921.9999999999991
Medio Pollo;1;4;1;1021.5
Medio Pollo Superior;1;4;1;1258.8387096774195
Medio Pollo Inferior;1;4;1;1119.2580645161288
Cuarto de Pollo Superior;1;4;1;1460.032258064516
Muslo Entero;1;4;1;1304.82258064516
Pechuga Completa;1;4;1;1876.9354838709678
Ala Completa;1;4;1;810.3870967741932
Media Pechuga;1;4;1;2175.0
Blanqueta;1;4;1;0.0
Alón;1;4;1;0.0
Punta;1;4;1;0.0
Jamoncito;1;4;1;1095.311827956989
Medio Muslo;1;4;1;1955.9139784946228
Entero;1;5;1;921.9999999999991
Medio Pollo;1;5;1;1022.5
Medio Pollo Superior;1;5;1;1258.8387096774195
Medio Pollo Inferior;1;5;1;1118.4193548387093
Cuarto de Pollo Superior;1;5;1;1458.8709677419356
Muslo Entero;1;5;1;1304.82258064516
Pechuga Completa;1;5;1;1876.9354838709678
Ala Completa;1;5;1;810.4838709677415
Media Pechuga;1;5;1;2175.4838709677424
Blanqueta;1;5;1;0.0
Alón;1;5;1;0.0
Punta;1;5;1;0.0
Jamoncito;1;5;1;1095.4623655913983
Medio Muslo;1;5;1;1956.1827956989246
Entero;1;6;1;921.9999999999991
Medio Pollo;1;6;1;1021.5
Medio Pollo Superior;1;6;1;1260.0
Medio Pollo Inferior;1;6;1;1118.4193548387093
Cuarto de Pollo Superior;1;6;1;1458.8709677419356
Muslo Entero;1;6;1;1304.82258064516
Pechuga Completa;1;6;1;1876.9354838709678
Ala Completa;1;6;1;810.3870967741932
Media Pechuga;1;6;1;2175.0
Blanqueta;1;6;1;0.0
Alón;1;6;1;0.0
Punta;1;6;1;0.0
Jamoncito;1;6;1;1095.6129032258068
Medio Muslo;1;6;1;1956.4516129032245
Entero;1;7;1;921.9999999999991
Medio Pollo;1;7;1;1022.5
Medio Pollo Superior;1;7;1;1258.8387096774195
Medio Pollo Inferior;1;7;1;1118.4193548387093
Cuarto de Pollo Superior;1;7;1;1458.8709677419356
Muslo Entero;1;7;1;1304.82258064516
Pechuga Completa;1;7;1;1876.9354838709678
Ala Completa;1;7;1;810.4838709677415
Media Pechuga;1;7;1;2175.4838709677424
Blanqueta;1;7;1;0.0
Alón;1;7;1;0.0
Punta;1;7;1;0.0
Jamoncito;1;7;1;1095.4623655913983
Medio Muslo;1;7;1;1956.1827956989246
Entero;1;8;1;921.9999999999991
Medio Pollo;1;8;1;1022.5
Medio Pollo Superior;1;8;1;1258.8387096774195
Medio Pollo Inferior;1;8;1;1118.4193548387093
Cuarto de Pollo Superior;1;8;1;1458.8709677419356
Muslo Entero;1;8;1;1305.2419354838712
Pechuga Completa;1;8;1;1876.9354838709678
Ala Completa;1;8;1;810.4838709677415
Media Pechuga;1;8;1;2175.4838709677424
Blanqueta;1;8;1;0.0
Alón;1;8;1;0.0
Punta;1;8;1;0.0
Jamoncito;1;8;1;1095.311827956989
Medio Muslo;1;8;1;1955.9139784946228
Entero;1;9;1;921.9999999999991
Medio Pollo;1;9;1;1021.5
