f;t;r;value
Entero;1;1;3854.258579599286
Medio Pollo;1;1;697.2436335624561
Medio Pollo Superior;1;1;1215.8387546741546
Medio Pollo Inferior;1;1;0.0
Cuarto de Pollo Superior;1;1;2645.195985319467
Muslo Entero;1;1;1666.1716120272417
Pechuga Completa;1;1;2632.7973266908966
Ala Completa;1;1;1057.9001184388035
Media Pechuga;1;1;0.0
Blanqueta;1;1;153.73932577091415
Alón;1;1;58.550957830323256
Punta;1;1;83.8466212907859
Jamoncito;1;1;0.0
Medio Muslo;1;1;1041.0842281764594
Entero;2;1;4064.6720260058228
Medio Pollo;2;1;637.9056214888042
Medio Pollo Superior;2;1;281.86969725416475
Medio Pollo Inferior;2;1;1.2336337174381242
Cuarto de Pollo Superior;2;1;1780.3412934217895
Muslo Entero;2;1;1670.4698760738602
Pechuga Completa;2;1;1857.2650133801035
Ala Completa;2;1;992.352091463489
Media Pechuga;2;1;0.0
Blanqueta;2;1;115.772798126017
Alón;2;1;88.7034017210003
Punta;2;1;76.03756327588022
Jamoncito;2;1;0.0
Medio Muslo;2;1;0.0
Entero;3;1;4720.847338670855
Medio Pollo;3;1;782.1661078149286
Medio Pollo Superior;3;1;609.7290432761197
Medio Pollo Inferior;3;1;0.0
Cuarto de Pollo Superior;3;1;2832.7209757432365
Muslo Entero;3;1;729.4185200375655
Pechuga Completa;3;1;2810.197930360125
Ala Completa;3;1;761.8162099221049
Media Pechuga;3;1;292.50519132688305
Blanqueta;3;1;273.36889888745594
Alón;3;1;99.8025598937191
Punta;3;1;79.75061391523028
Jamoncito;3;1;0.0
Medio Muslo;3;1;0.0
Entero;4;1;4597.499374760392
Medio Pollo;4;1;1539.326976308318
Medio Pollo Superior;4;1;343.2772208882211
Medio Pollo Inferior;4;1;0.0
Cuarto de Pollo Superior;4;1;1528.0901840673582
Muslo Entero;4;1;1009.8014374507989
Pechuga Completa;4;1;1866.6820874223436
Ala Completa;4;1;953.4384890780362
Media Pechuga;4;1;475.2561581461878
Blanqueta;4;1;186.98323902731028
Alón;4;1;105.84477042196359
Punta;4;1;85.16693783326772
Jamoncito;4;1;0.0
Medio Muslo;4;1;126.8306860929315
Entero;5;1;4358.496822892215
Medio Pollo;5;1;1775.0484208802727
Medio Pollo Superior;5;1;654.8694575404966
Medio Pollo Inferior;5;1;0.0
Cuarto de Pollo Superior;5;1;1493.918479967418
Muslo Entero;5;1;1150.8223638354482
Pechuga Completa;5;1;2132.4253719773365
Ala Completa;5;1;1023.274183236588
Media Pechuga;5;1;967.7236647413831
Blanqueta;5;1;121.85418339455902
Alón;5;1;64.57353187908993
Punta;5;1;81.96632938260731
Jamoncito;5;1;0.0
Medio Muslo;5;1;0.0
Entero;6;1;4641.694644527479
Medio Pollo;6;1;572.9252946440292
Medio Pollo Superior;6;1;1294.6154607521578
Medio Pollo Inferior;6;1;0.0
Cuarto de Pollo Superior;6;1;1488.4623284407166
Muslo Entero;6;1;1744.428406866682
Pechuga Completa;6;1;903.1686182848844
Ala Completa;6;1;893.2833233990298
Media Pechuga;6;1;100.09061655180767
Blanqueta;6;1;234.39302012287547
Alón;6;1;84.43919282349245
Punta;6;1;73.65909067056776
Jamoncito;6;1;0.0
Medio Muslo;6;1;0.0
Entero;7;1;0.0
Medio Pollo;7;1;0.0
Medio Pollo Superior;7;1;0.0
Medio Pollo Inferior;7;1;0.0
Cuarto de Pollo Superior;7;1;0.0
Muslo Entero;7;1;614.65455277008
Pechuga Completa;7;1;450.9286556976683
Ala Completa;7;1;252.59342027416022
Media Pechuga;7;1;854.8495250852081
Blanqueta;7;1;29.36719595093487
Alón;7;1;0.0
Punta;7;1;0.0
Jamoncito;7;1;0.0
Medio Muslo;7;1;0.0
Entero;8;1;0.0
Medio Pollo;8;1;0.0
Medio Pollo Superior;8;1;0.0
Medio Pollo Inferior;8;1;0.0
Cuarto de Pollo Superior;8;1;0.0
Muslo Entero;8;1;0.0
Pechuga Completa;8;1;1397.5185036696448
Ala Completa;8;1;0.0
Media Pechuga;8;1;332.82740848286244
Blanqueta;8;1;20.635939598553477
Alón;8;1;27.449486609042864
Punta;8;1;0.0
Jamoncito;8;1;0.0
Medio Muslo;8;1;0.0
Entero;9;1;0.0
Medio Pollo;9;1;0.0
Medio Pollo Superior;9;1;63.45897209687348
Medio Pollo Inferior;9;1;0.0
Cuarto de Pollo Superior;9;1;0.0
Muslo Entero;9;1;0.0
Pechuga Completa;9;1;0.0
Ala Completa;9;1;0.0
Media Pechuga;9;1;0.0
Blanqueta;9;1;0.0
Alón;9;1;0.0
Punta;9;1;0.0
Jamoncito;9;1;0.0
Medio Muslo;9;1;0.0
Entero;10;1;0.0
Medio Pollo;10;1;0.0
Medio Pollo Superior;10;1;0.0
Medio Pollo Inferior;10;1;0.0
Cuarto de Pollo Superior;10;1;0.0
Muslo Entero;10;1;0.0
Pechuga Completa;10;1;0.0
Ala Completa;10;1;0.0
Media Pechuga;10;1;0.0
Blanqueta;10;1;0.0
Alón;10;1;0.0
Punta;10;1;0.0
Jamoncito;10;1;0.0
Medio Muslo;10;1;0.0
Entero;11;1;0.0
Medio Pollo;11;1;0.0
Medio Pollo Superior;11;1;0.0
Medio Pollo Inferior;11;1;0.0
Cuarto de Pollo Superior;11;1;1300.1306892230295
Muslo Entero;11;1;1188.723186461809
Pechuga Completa;11;1;0.0
Ala Completa;11;1;0.0
Media Pechuga;11;1;0.0
Blanqueta;11;1;0.0
Alón;11;1;0.0
Punta;11;1;0.0
Jamoncito;11;1;0.0
Medio Muslo;11;1;0.0
Entero;12;1;0.0
Medio Pollo;12;1;0.0
Medio Pollo Superior;12;1;0.0
Medio Pollo Inferior;12;1;0.0
Cuarto de Pollo Superior;12;1;0.0
Muslo Entero;12;1;0.0
Pechuga Completa;12;1;0.0
Ala Completa;12;1;0.0
Media Pechuga;12;1;0.0
Blanqueta;12;1;0.0
Alón;12;1;0.0
Punta;12;1;0.0
Jamoncito;12;1;0.0
Medio Muslo;12;1;0.0
Entero;13;1;0.0
Medio Pollo;13;1;0.0
Medio Pollo Superior;13;1;0.0
Medio Pollo Inferior;13;1;1135.490593300314
Cuarto de Pollo Superior;13;1;0.0
Muslo Entero;13;1;0.0
Pechuga Completa;13;1;0.0
