f;t;r;value
Entero;1;1;40.0
Medio Pollo;1;1;60.0
Medio Pollo Superior;1;1;333.660624678006
Medio Pollo Inferior;1;1;70.0
Cuarto de Pollo Superior;1;1;413.1656708885441
Muslo Entero;1;1;426.15824651756725
Pechuga Completa;1;1;715.736769460063
Ala Completa;1;1;374.0252011868175
Media Pechuga;1;1;384.45838352408146
Blanqueta;1;1;0.9387290077910295
Alón;1;1;0.0
Punta;1;1;0.010883989956801485
Jamoncito;1;1;66.0
Medio Muslo;1;1;821.0717402046594
Entero;2;1;40.0
Medio Pollo;2;1;60.0
Medio Pollo Superior;2;1;74.0
Medio Pollo Inferior;2;1;454.50042072372344
Cuarto de Pollo Superior;2;1;170.36763656783978
Muslo Entero;2;1;815.7443956590713
Pechuga Completa;2;1;787.1512349764998
Ala Completa;2;1;629.5105351152138
Media Pechuga;2;1;1160.2465099170033
Blanqueta;2;1;0.8071909187603934
Alón;2;1;0.011345377427482178
Punta;2;1;0.010690614805401288
Jamoncito;2;1;66.0
Medio Muslo;2;1;80.49914656153078
Entero;3;1;267.3935886821739
Medio Pollo;3;1;60.0
Medio Pollo Superior;3;1;74.0
Medio Pollo Inferior;3;1;121.01691518843177
Cuarto de Pollo Superior;3;1;662.0588924354098
Muslo Entero;3;1;582.3783554203368
Pechuga Completa;3;1;1534.415237643411
Ala Completa;3;1;618.1657207649349
Media Pechuga;3;1;1364.4957966673685
Blanqueta;3;1;0.8741536493977278
Alón;3;1;0.04683814960761028
Punta;3;1;0.018020304985878612
Jamoncito;3;1;66.0
Medio Muslo;3;1;72.0
Entero;4;1;424.5386980225038
Medio Pollo;4;1;297.7863565547948
Medio Pollo Superior;4;1;74.0
Medio Pollo Inferior;4;1;70.0
Cuarto de Pollo Superior;4;1;243.27636584727225
Muslo Entero;4;1;534.3243033555472
Pechuga Completa;4;1;1612.5085837183346
Ala Completa;4;1;828.8056414232843
Media Pechuga;4;1;1557.7391185628687
Blanqueta;4;1;0.7688172043000803
Alón;4;1;0.07305790527180395
Punta;4;1;0.025748920930998197
Jamoncito;4;1;66.0
Medio Muslo;4;1;775.3097650234042
Entero;5;1;444.2083325962211
Medio Pollo;5;1;679.0706008510986
Medio Pollo Superior;5;1;74.0
Medio Pollo Inferior;5;1;70.0
Cuarto de Pollo Superior;5;1;104.0
Muslo Entero;5;1;579.6853790451615
Pechuga Completa;5;1;1879.0752972958985
