f;t;r;value
Entero;1;1;923.0000000000018
Medio Pollo;1;1;1022.0
Medio Pollo Superior;1;1;1258.8387096774195
Medio Pollo Inferior;1;1;1118.4193548387093
Cuarto de Pollo Superior;1;1;1458.8709677419356
Muslo Entero;1;1;1305.032258064516
Pechuga Completa;1;1;1876.9354838709678
Ala Completa;1;1;810.4354838709678
Media Pechuga;1;1;2175.241935483871
Blanqueta;1;1;1.0
Alón;1;1;0.0
Punta;1;1;0.0
Jamoncito;1;1;1095.311827956989
Medio Muslo;1;1;1955.9139784946237
Entero;2;1;921.9999999999991
Medio Pollo;2;1;1021.5
Medio Pollo Superior;2;1;1258.8387096774195
Medio Pollo Inferior;2;1;1119.2580645161288
Cuarto de Pollo Superior;2;1;1460.032258064516
Muslo Entero;2;1;1304.82258064516
Pechuga Completa;2;1;1876.9354838709678
Ala Completa;2;1;810.3870967741932
Media Pechuga;2;1;2175.0
Blanqueta;2;1;0.0
Alón;2;1;0.0
Punta;2;1;0.0
Jamoncito;2;1;1095.311827956989
Medio Muslo;2;1;1955.9139784946228
Entero;3;1;924.0
Medio Pollo;3;1;1021.5
Medio Pollo Superior;3;1;1258.8387096774195
Medio Pollo Inferior;3;1;1118.4193548387093
Cuarto de Pollo Superior;3;1;1458.8709677419356
Muslo Entero;3;1;1304.82258064516
Pechuga Completa;3;1;1876.9354838709678
Ala Completa;3;1;810.3870967741932
Media Pechuga;3;1;2175.0
Blanqueta;3;1;0.0
Alón;3;1;0.0
Punta;3;1;0.0
Jamoncito;3;1;1095.311827956989
Medio Muslo;3;1;1955.9139784946228
Entero;4;1;921.9999999999991
Medio Pollo;4;1;1021.5
Medio Pollo Superior;4;1;1258.8387096774195
Medio Pollo Inferior;4;1;1119.2580645161288
Cuarto de Pollo Superior;4;1;1458.8709677419356
Muslo Entero;4;1;1304.82258064516
Pechuga Completa;4;1;1876.9354838709678
Ala Completa;4;1;810.5806451612916
Media Pechuga;4;1;2175.967741935485
Blanqueta;4;1;0.0
Alón;4;1;0.0
Punta;4;1;0.0
Jamoncito;4;1;1095.311827956989
Medio Muslo;4;1;1955.9139784946228
Entero;5;1;921.9999999999991
Medio Pollo;5;1;1021.5
Medio Pollo Superior;5;1;1258.8387096774195
Medio Pollo Inferior;5;1;1119.2580645161288
Cuarto de Pollo Superior;5;1;1460.032258064516
Muslo Entero;5;1;1304.82258064516
Pechuga Completa;5;1;1876.9354838709678
Ala Completa;5;1;810.3870967741932
Media Pechuga;5;1;2175.0
Blanqueta;5;1;0.0
Alón;5;1;0.0
Punta;5;1;0.0
Jamoncito;5;1;1095.311827956989
Medio Muslo;5;1;1955.9139784946228
Entero;6;1;921.9999999999991
Medio Pollo;6;1;1021.5
Medio Pollo Superior;6;1;1258.8387096774195
Medio Pollo Inferior;6;1;1118.4193548387093
Cuarto de Pollo Superior;6;1;1458.8709677419356
Muslo Entero;6;1;1304.82258064516
Pechuga Completa;6;1;1877.9032258064517
Ala Completa;6;1;810.5806451612916
Media Pechuga;6;1;2175.0
Blanqueta;6;1;0.0
Alón;6;1;0.0
Punta;6;1;9.094947017729282e-12
Jamoncito;6;1;1095.6129032258068
Medio Muslo;6;1;1956.4516129032245
Entero;7;1;921.9999999999991
Medio Pollo;7;1;1021.5
Medio Pollo Superior;7;1;1260.0
Medio Pollo Inferior;7;1;1118.4193548387093
Cuarto de Pollo Superior;7;1;1458.8709677419356
Muslo Entero;7;1;1304.82258064516
Pechuga Completa;7;1;1876.9354838709678
Ala Completa;7;1;810.3870967741932
Media Pechuga;7;1;2175.0
Blanqueta;7;1;0.0
Alón;7;1;0.0
Punta;7;1;-1.8189894035458565e-12
Jamoncito;7;1;1095.6129032258068
Medio Muslo;7;1;1956.4516129032245
Entero;8;1;1131.01132479031
Medio Pollo;8;1;1227.6442660638786
Medio Pollo Superior;8;1;1485.7906324669857
Medio Pollo Inferior;8;1;1285.2892536318059
Cuarto de Pollo Superior;8;1;1679.3676620341867
Muslo Entero;8;1;1468.5433979368327
Pechuga Completa;8;1;2108.7692294353146
Ala Completa;8;1;941.6516076155194
Media Pechuga;8;1;2398.904618134824
Blanqueta;8;1;135.9198796383289
Alón;8;1;91.19941623443538
Punta;8;1;43.10141405562899
Jamoncito;8;1;1225.5077648594215
Medio Muslo;8;1;2126.7177924631915
Entero;9;1;1103.0928557903098
Medio Pollo;9;1;1200.1286821006624
Medio Pollo Superior;9;1;1458.6609804362406
Medio Pollo Inferior;9;1;1258.8636292944375
Cuarto de Pollo Superior;9;1;1653.7361284801764
Muslo Entero;9;1;1442.4808634438969
Pechuga Completa;9;1;2083.0353655258787
Ala Completa;9;1;916.5394264233337
Media Pechuga;9;1;2374.0868454909614
Blanqueta;9;1;111.10210699446543
Alón;9;1;66.66593444373575
Punta;9;1;18.842671965874615
Jamoncito;9;1;1200.974283068721
Medio Muslo;9;1;2101.605611271004
Entero;10;1;1075.1743867903097
Medio Pollo;10;1;1172.6130981374472
Medio Pollo Superior;10;1;1431.7906324669857
Medio Pollo Inferior;10;1;1232.1041126410455
Cuarto de Pollo Superior;10;1;1627.3319996687515
Muslo Entero;10;1;1416.418328950961
Pechuga Completa;10;1;2057.419354838711
Ala Completa;10;1;891.4272452311461
Media Pechuga;10;1;2349.269072847099
Blanqueta;10;1;86.2843343506047
Alón;10;1;42.132452653038854
Punta;10;1;2.529032258064035
Jamoncito;10;1;1176.4408012780223
Medio Muslo;10;1;2076.493430078818
Entero;11;1;1047.8777035000003
Medio Pollo;11;1;1145.0975141742292
Medio Pollo Superior;11;1;1404.6609804362406
Medio Pollo Inferior;11;1;1205.6055647783096
Cuarto de Pollo Superior;11;1;1600.9278708573256
Muslo Entero;11;1;1390.3557944580234
Pechuga Completa;11;1;2032.0241864900818
Ala Completa;11;1;866.3150640389595
Media Pechuga;11;1;2324.4513002032363
Blanqueta;11;1;61.46656170674214
Alón;11;1;17.59897086233832
Punta;11;1;1.8189894035458565e-12
Jamoncito;11;1;1151.9073194873226
Medio Muslo;11;1;2051.3812488866306
Entero;12;1;1019.9592344999992
Medio Pollo;12;1;1117.5819302110149
Medio Pollo Superior;12;1;1377.710297192035
Medio Pollo Inferior;12;1;1178.8460481249167
Cuarto de Pollo Superior;12;1;1574.5237420459007
Muslo Entero;12;1;1364.2932599650885
Pechuga Completa;12;1;2006.290322580645
Ala Completa;12;1;841.2028828467728
Media Pechuga;12;1;2299.6335275593756
Blanqueta;12;1;36.64878906287959
Alón;12;1;0.0
Punta;12;1;0.0
Jamoncito;12;1;1127.376344086022
Medio Muslo;12;1;2026.269067694444
Entero;13;1;992.040765499999
Medio Pollo;13;1;1090.0663462477978
Medio Pollo Superior;13;1;1350.5806451612907
Medio Pollo Inferior;13;1;1152.7668551008892
Cuarto de Pollo Superior;13;1;1548.1196132344749
Muslo Entero;13;1;1338.2307254721536
Pechuga Completa;13;1;1980.556458671209
Ala Completa;13;1;816.1689938218997
Media Pechuga;13;1;2274.815754915513
Blanqueta;13;1;11.831016419017033
Alón;13;1;0.0
Punta;13;1;0.0
Jamoncito;13;1;1103.890396809329
Medio Muslo;13;1;2001.1568865022573
Entero;14;1;964.1222964999997
Medio Pollo;14;1;1062.5507622845817
Medio Pollo Superior;14;1;1323.4509931305447
Medio Pollo Inferior;14;1;1126.0073384474972
Cuarto de Pollo Superior;14;1;1521.715484423049
Muslo Entero;14;1;1312.1681909792178
Pechuga Completa;14;1;1954.8387096774195
Ala Completa;14;1;791.056812629713
Media Pechuga;14;1;2249.9979822716505
Blanqueta;14;1;0.0
Alón;14;1;0.0
Punta;14;1;-1.8189894035458565e-12
Jamoncito;14;1;1079.3569150186304
Medio Muslo;14;1;1976.0447053100715
Entero;15;1;1141.2604193378174
Medio Pollo;15;1;1237.6863727461596
Medio Pollo Superior;15;1;1463.3983217395453
Medio Pollo Inferior;15;1;1340.5191420590363
Cuarto de Pollo Superior;15;1;1657.7540776580627
Muslo Entero;15;1;1521.757266485779
Pechuga Completa;15;1;2085.3989269640824
Ala Completa;15;1;930.3591308690075
Media Pechuga;15;1;2375.9898092935173
Blanqueta;15;1;125.21557856306117
Alón;15;1;83.31715816991982
Punta;15;1;39.69761976374684
Jamoncito;15;1;1297.3485663402907
Medio Muslo;15;1;2165.3857961793665
Entero;16;1;1113.3419503378173
Medio Pollo;16;1;1210.1707887829443
Medio Pollo Superior;16;1;1436.2686697088002
Medio Pollo Inferior;16;1;1313.7596254056461
Cuarto de Pollo Superior;16;1;1631.3499488466368
Muslo Entero;16;1;1495.6947319928431
Pechuga Completa;16;1;2059.6650630546455
Ala Completa;16;1;905.2469496768199
Media Pechuga;16;1;2351.1720366496565
Blanqueta;16;1;100.39780591919953
Alón;16;1;58.783676379220196
Punta;16;1;15.440860215054272
Jamoncito;16;1;1272.815084549592
Medio Muslo;16;1;2140.27361498718
Entero;17;1;1085.8777035000003
Medio Pollo;17;1;1182.6552048197264
Medio Pollo Superior;17;1;1409.139017678055
Medio Pollo Inferior;17;1;1287.0001087522533
Cuarto de Pollo Superior;17;1;1604.945820035212
Muslo Entero;17;1;1469.6321974999064
Pechuga Completa;17;1;2033.9311991452096
Ala Completa;17;1;880.1347684846342
Media Pechuga;17;1;2326.354264005795
Blanqueta;17;1;75.58003327533606
Alón;17;1;34.25019458851966
Punta;17;1;0.0
Jamoncito;17;1;1248.2816027588924
Medio Muslo;17;1;2115.161433794993
Entero;18;1;1057.9592345
Medio Pollo;18;1;1155.139620856512
Medio Pollo Superior;18;1;1382.00936564731
Medio Pollo Inferior;18;1;1260.2405920988613
Cuarto de Pollo Superior;18;1;1578.758967521103
Muslo Entero;18;1;1443.5696630069706
Pechuga Completa;18;1;2008.1973352357736
Ala Completa;18;1;855.0225872924466
Media Pechuga;18;1;2301.5364913619323
Blanqueta;18;1;50.7622606314726
Alón;18;1;9.716712797820946
Punta;18;1;0.0
Jamoncito;18;1;1223.7481209681928
Medio Muslo;18;1;2090.0492526028065
Entero;19;1;1030.0407655
Medio Pollo;19;1;1127.6240368932959
Medio Pollo Superior;19;1;1354.8797136165658
Medio Pollo Inferior;19;1;1233.4926615525028
Cuarto de Pollo Superior;19;1;1552.354838709678
Muslo Entero;19;1;1417.5071285140339
Pechuga Completa;19;1;1982.4634713263376
Ala Completa;19;1;829.9104061002581
Media Pechuga;19;1;2276.71871871807
Blanqueta;19;1;25.944487987612774
Alón;19;1;0.0
Punta;19;1;5.4569682106375694e-12
Jamoncito;19;1;1199.214639177495
Medio Muslo;19;1;2064.93707141062
Entero;20;1;1002.1222964999997
Medio Pollo;20;1;1100.1084529300797
Medio Pollo Superior;20;1;1327.750061585819
Medio Pollo Inferior;20;1;1206.7331448991108
Cuarto de Pollo Superior;20;1;1525.9507098982522
Muslo Entero;20;1;1391.444594021098
Pechuga Completa;20;1;1956.7296074169017
Ala Completa;20;1;804.7982249080733
Media Pechuga;20;1;2251.935483870968
Blanqueta;20;1;1.1267153437502202
Alón;20;1;0.0
Punta;20;1;0.0
Jamoncito;20;1;1174.6811573867953
Medio Muslo;20;1;2039.8248902184332
Entero;21;1;975.0
Medio Pollo;21;1;1073.5
Medio Pollo Superior;21;1;1301.8064516129034
Medio Pollo Inferior;21;1;1180.404677943713
Cuarto de Pollo Superior;21;1;1500.677419354839
Muslo Entero;21;1;1365.3820595281622
Pechuga Completa;21;1;1930.9957435074639
Ala Completa;21;1;786.2903225806449
Media Pechuga;21;1;2227.237127482572
Blanqueta;21;1;0.0
Alón;21;1;0.0
Punta;21;1;-1.8189894035458565e-12
Jamoncito;21;1;1150.1476755960948
Medio Muslo;21;1;2015.244262639104
Entero;22;1;1126.3794106568866
Medio Pollo;22;1;1223.0373518834867
Medio Pollo Superior;22;1;1443.534871715603
Medio Pollo Inferior;22;1;1333.4742504160722
Cuarto de Pollo Superior;22;1;1638.4609032354692
Muslo Entero;22;1;1514.8376680197043
Pechuga Completa;22;1;2067.1555087789993
Ala Completa;22;1;910.5233705325245
Media Pechuga;22;1;2358.554562198886
Blanqueta;22;1;103.85193462286406
Alón;22;1;63.46090114553954
Punta;22;1;33.46311670019168
Jamoncito;22;1;1267.8910444696194
Medio Muslo;22;1;2171.9026205521013
Entero;23;1;1098.4609416568865
Medio Pollo;23;1;1195.5217679202715
Medio Pollo Superior;23;1;1416.405219684858
Medio Pollo Inferior;23;1;1306.7147337626802
Cuarto de Pollo Superior;23;1;1612.0567744240434
Muslo Entero;23;1;1488.7751335267685
Pechuga Completa;23;1;2041.4216448695634
Ala Completa;23;1;885.4111893403378
Media Pechuga;23;1;2333.736789555025
Blanqueta;23;1;79.03416197900151
Alón;23;1;38.927419354839
Punta;23;1;9.20437461043366
Jamoncito;23;1;1243.3575626789188
Medio Muslo;23;1;2146.8812094414698
Entero;24;1;1070.5851356666653
Medio Pollo;24;1;1168.0061839570562
Medio Pollo Superior;24;1;1389.2755676541146
Medio Pollo Inferior;24;1;1280.0410486492765
Cuarto de Pollo Superior;24;1;1585.734322470229
Muslo Entero;24;1;1462.7125990338318
Pechuga Completa;24;1;2015.6877809601274
Ala Completa;24;1;860.299008148153
Media Pechuga;24;1;2308.9190169111616
Blanqueta;24;1;54.216389335138956
Alón;24;1;14.393937564138469
Punta;24;1;0.0
Jamoncito;24;1;1218.824080888221
Medio Muslo;24;1;2121.769028249285
Entero;25;1;1042.666666666667
Medio Pollo;25;1;1140.5
Medio Pollo Superior;25;1;1362.1459156233677
Medio Pollo Inferior;25;1;1253.2815319958854
Cuarto de Pollo Superior;25;1;1559.3301936588032
Muslo Entero;25;1;1436.650064540895
Pechuga Completa;25;1;1989.9539170506914
Ala Completa;25;1;835.1868269559645
Media Pechuga;25;1;2284.1516743199827
Blanqueta;25;1;29.39861669127731
Alón;25;1;0.0
Punta;25;1;0.0
Jamoncito;25;1;1194.2905990975214
Medio Muslo;25;1;2096.6568470570965
Entero;26;1;1014.7481976666659
Medio Pollo;26;1;1113.0
Medio Pollo Superior;26;1;1335.0162635926235
Medio Pollo Inferior;26;1;1226.5733067137926
Cuarto de Pollo Superior;26;1;1533.1859353734544
Muslo Entero;26;1;1410.5875300479593
Pechuga Completa;26;1;1964.2200531412554
Ala Completa;26;1;810.0746457637779
Media Pechuga;26;1;2259.3339016761192
Blanqueta;26;1;4.580844047415667
Alón;26;1;0.0
Punta;26;1;0.0
Jamoncito;26;1;1169.7571173068218
Medio Muslo;26;1;2071.54466586491
Entero;27;1;987.0
Medio Pollo;27;1;1085.5
Medio Pollo Superior;27;1;1308.1935483870975
Medio Pollo Inferior;27;1;1199.8137900604024
Cuarto de Pollo Superior;27;1;1506.7818065620286
Muslo Entero;27;1;1384.5249955550235
Pechuga Completa;27;1;1938.4861892318195
Ala Completa;27;1;784.9624645715912
Media Pechuga;27;1;2234.5161290322585
Blanqueta;27;1;0.0
Alón;27;1;0.0
Punta;27;1;0.0
Jamoncito;27;1;1145.2236355161222
Medio Muslo;27;1;2046.4324846727231
Entero;28;1;963.0
Medio Pollo;28;1;1061.5
Medio Pollo Superior;28;1;1286.709677419355
Medio Pollo Inferior;28;1;1173.3152421976638
Cuarto de Pollo Superior;28;1;1486.1612903225805
Muslo Entero;28;1;1358.4624610620876
Pechuga Completa;28;1;1912.7523253223826
Ala Completa;28;1;793.5483870967737
Media Pechuga;28;1;2209.698356388396
Blanqueta;28;1;0.0
Alón;28;1;0.0
Punta;28;1;-1.8189894035458565e-12
Jamoncito;28;1;1121.6538376695435
Medio Muslo;28;1;2021.3203034805365
Entero;29;1;1135.088043299802
Medio Pollo;29;1;1231.8382064899752
Medio Pollo Superior;29;1;1479.1592074077898
Medio Pollo Inferior;29;1;1305.718515728894
Cuarto de Pollo Superior;29;1;1673.1260985977588
Muslo Entero;29;1;1487.6509004516856
Pechuga Completa;29;1;2110.36587484774
Ala Completa;29;1;896.6796411571704
Media Pechuga;29;1;2400.2555284401424
Blanqueta;29;1;83.92491165396405
Alón;29;1;60.32844992948412
Punta;29;1;27.41884934985137
Jamoncito;29;1;1181.1827317010539
Medio Muslo;29;1;2180.8655980516396
Entero;30;1;1108.0
Medio Pollo;30;1;1204.322622526759
Medio Pollo Superior;30;1;1452.0295553770457
Medio Pollo Inferior;30;1;1278.958999075503
Cuarto de Pollo Superior;30;1;1646.721969786333
Muslo Entero;30;1;1461.588365958749
Pechuga Completa;30;1;2084.632010938304
Ala Completa;30;1;871.5674599649838
