f;t;r;value
Entero;1;1;2174.9624782298256
Medio Pollo;1;1;0.0
Medio Pollo Superior;1;1;684.434266001069
Medio Pollo Inferior;1;1;0.0
Cuarto de Pollo Superior;1;1;2502.7157931920897
Muslo Entero;1;1;1192.0899382535367
Pechuga Completa;1;1;2416.563699048386
Ala Completa;1;1;673.2355238659366
Media Pechuga;1;1;0.0
Blanqueta;1;1;0.0
Alón;1;1;0.0
Punta;1;1;0.0
Jamoncito;1;1;0.0
Medio Muslo;1;1;1090.0186369041273
Entero;2;1;2811.568769977015
Medio Pollo;2;1;0.0
Medio Pollo Superior;2;1;0.0
Medio Pollo Inferior;2;1;0.0
Cuarto de Pollo Superior;2;1;801.2015848194435
Muslo Entero;2;1;1226.936230098769
Pechuga Completa;2;1;930.0246800796954
Ala Completa;2;1;499.3431402202918
Media Pechuga;2;1;0.0
Blanqueta;2;1;0.0
Alón;2;1;0.0
Punta;2;1;0.0
Jamoncito;2;1;0.0
Medio Muslo;2;1;0.0
Entero;3;1;4667.405160861599
Medio Pollo;3;1;0.0
Medio Pollo Superior;3;1;0.0
Medio Pollo Inferior;3;1;0.0
Cuarto de Pollo Superior;3;1;2926.1303182120364
Muslo Entero;3;1;0.0
Pechuga Completa;3;1;2810.8108130452124
Ala Completa;3;1;0.0
Media Pechuga;3;1;0.0
Blanqueta;3;1;0.0
Alón;3;1;0.0
Punta;3;1;0.0
Jamoncito;3;1;0.0
Medio Muslo;3;1;0.0
Entero;4;1;4359.521078004553
Medio Pollo;4;1;0.0
Medio Pollo Superior;4;1;0.0
Medio Pollo Inferior;4;1;0.0
Cuarto de Pollo Superior;4;1;382.91968237707204
Muslo Entero;4;1;0.0
Pechuga Completa;4;1;1018.6567105624896
Ala Completa;4;1;282.36468705776537
Media Pechuga;4;1;0.0
Blanqueta;4;1;0.0
Alón;4;1;0.0
Punta;4;1;0.0
Jamoncito;4;1;0.0
Medio Muslo;4;1;0.0
Entero;5;1;3745.3924778276237
Medio Pollo;5;1;0.0
Medio Pollo Superior;5;1;0.0
Medio Pollo Inferior;5;1;0.0
