f;n;t;r;value
Entero;1;1;1;922.0000000000327
Medio Pollo;1;1;1;1021.4999999999832
Medio Pollo Superior;1;1;1;1258.8387096774195
Medio Pollo Inferior;1;1;1;1118.4193548387098
Cuarto de Pollo Superior;1;1;1;1459.1612903225807
Muslo Entero;1;1;1;1305.241935483864
Pechuga Completa;1;1;1;1877.4193548387098
Ala Completa;1;1;1;810.1935483870967
Media Pechuga;1;1;1;2175.241935483863
Blanqueta;1;1;1;0.2069892473108329
Alón;1;1;1;0.10161290322531796
Punta;1;1;1;0.030107526881575693
Jamoncito;1;1;1;1095.4623655913979
Medio Muslo;1;1;1;1956.1827956989246
Entero;1;2;1;923.0
Medio Pollo;1;2;1;1021.5
Medio Pollo Superior;1;2;1;1258.8387096774195
Medio Pollo Inferior;1;2;1;1118.4193548387098
Cuarto de Pollo Superior;1;2;1;1458.8709677419356
Muslo Entero;1;2;1;1304.8225806451612
Pechuga Completa;1;2;1;1877.4193548387098
Ala Completa;1;2;1;810.1935483870967
Media Pechuga;1;2;1;2175.0
Blanqueta;1;2;1;0.1774193548387097
Alón;1;2;1;0.08709677419354839
Punta;1;2;1;0.025806451612903226
Jamoncito;1;2;1;1095.4623655913979
Medio Muslo;1;2;1;1956.1827956989246
Entero;1;3;1;922.0
Medio Pollo;1;3;1;1021.5
Medio Pollo Superior;1;3;1;1258.8387096774195
Medio Pollo Inferior;1;3;1;1118.4193548387098
Cuarto de Pollo Superior;1;3;1;1459.1612903225807
Muslo Entero;1;3;1;1305.2419354838712
Pechuga Completa;1;3;1;1877.4193548387098
Ala Completa;1;3;1;810.1935483870967
Media Pechuga;1;3;1;2175.241935483871
Blanqueta;1;3;1;0.20698924731182797
Alón;1;3;1;0.10161290322580646
Punta;1;3;1;0.03010752688172043
Jamoncito;1;3;1;1095.4623655913979
Medio Muslo;1;3;1;1956.1827956989246
Entero;1;4;1;923.0
Medio Pollo;1;4;1;1021.5
Medio Pollo Superior;1;4;1;1258.8387096774195
Medio Pollo Inferior;1;4;1;1118.4193548387098
Cuarto de Pollo Superior;1;4;1;1458.8709677419356
Muslo Entero;1;4;1;1304.8225806451612
Pechuga Completa;1;4;1;1877.4193548387098
Ala Completa;1;4;1;810.1935483870967
Media Pechuga;1;4;1;2175.0
Blanqueta;1;4;1;0.1774193548387097
Alón;1;4;1;0.08709677419354839
Punta;1;4;1;0.025806451612903226
Jamoncito;1;4;1;1095.4623655913979
Medio Muslo;1;4;1;1956.1827956989246
Entero;1;5;1;923.0
Medio Pollo;1;5;1;1021.5
Medio Pollo Superior;1;5;1;1258.8387096774195
Medio Pollo Inferior;1;5;1;1118.4193548387098
Cuarto de Pollo Superior;1;5;1;1458.8709677419356
Muslo Entero;1;5;1;1304.8225806451612
Pechuga Completa;1;5;1;1877.4193548387098
Ala Completa;1;5;1;810.1935483870967
Media Pechuga;1;5;1;2175.0
Blanqueta;1;5;1;0.1774193548387097
Alón;1;5;1;0.08709677419354839
Punta;1;5;1;0.025806451612903226
Jamoncito;1;5;1;1095.4623655913979
Medio Muslo;1;5;1;1956.1827956989246
Entero;1;6;1;923.0
Medio Pollo;1;6;1;1021.5
Medio Pollo Superior;1;6;1;1258.8387096774195
Medio Pollo Inferior;1;6;1;1118.4193548387098
Cuarto de Pollo Superior;1;6;1;1458.8709677419356
Muslo Entero;1;6;1;1304.8225806451612
Pechuga Completa;1;6;1;1877.4193548387098
Ala Completa;1;6;1;810.1935483870967
Media Pechuga;1;6;1;2175.0
Blanqueta;1;6;1;0.1774193548387097
Alón;1;6;1;0.08709677419354839
Punta;1;6;1;0.025806451612903226
Jamoncito;1;6;1;1095.4623655913979
Medio Muslo;1;6;1;1956.1827956989246
Entero;1;7;1;922.0
Medio Pollo;1;7;1;1021.5
Medio Pollo Superior;1;7;1;1258.8387096774195
Medio Pollo Inferior;1;7;1;1118.4193548387098
Cuarto de Pollo Superior;1;7;1;1459.1612903225807
Muslo Entero;1;7;1;1305.2419354838712
Pechuga Completa;1;7;1;1877.4193548387098
Ala Completa;1;7;1;810.1935483870967
Media Pechuga;1;7;1;2175.241935483871
Blanqueta;1;7;1;0.20698924731182797
Alón;1;7;1;0.10161290322580646
Punta;1;7;1;0.03010752688172043
Jamoncito;1;7;1;1095.4623655913979
Medio Muslo;1;7;1;1956.1827956989246
Entero;1;8;1;922.0
Medio Pollo;1;8;1;1021.5
Medio Pollo Superior;1;8;1;1258.8387096774195
Medio Pollo Inferior;1;8;1;1118.4193548387098
Cuarto de Pollo Superior;1;8;1;1459.1612903225807
Muslo Entero;1;8;1;1305.2419354838712
Pechuga Completa;1;8;1;1877.4193548387098
Ala Completa;1;8;1;810.1935483870967
Media Pechuga;1;8;1;2175.241935483871
Blanqueta;1;8;1;0.20698924731182797
Alón;1;8;1;0.10161290322580646
Punta;1;8;1;0.03010752688172043
Jamoncito;1;8;1;1095.4623655913979
Medio Muslo;1;8;1;1956.1827956989246
Entero;1;9;1;922.0
Medio Pollo;1;9;1;1021.5
Medio Pollo Superior;1;9;1;1258.8387096774195
Medio Pollo Inferior;1;9;1;1118.4193548387098
Cuarto de Pollo Superior;1;9;1;1459.1612903225807
Muslo Entero;1;9;1;1305.2419354838712
Pechuga Completa;1;9;1;1877.4193548387098
Ala Completa;1;9;1;810.1935483870967
Media Pechuga;1;9;1;2175.241935483871
Blanqueta;1;9;1;0.20698924731182797
Alón;1;9;1;0.10161290322580646
Punta;1;9;1;0.03010752688172043
Jamoncito;1;9;1;1095.4623655913979
Medio Muslo;1;9;1;1956.1827956989246
Entero;1;10;1;923.0
Medio Pollo;1;10;1;1021.5
Medio Pollo Superior;1;10;1;1258.8387096774195
Medio Pollo Inferior;1;10;1;1118.4193548387098
Cuarto de Pollo Superior;1;10;1;1458.8709677419356
Muslo Entero;1;10;1;1304.8225806451612
Pechuga Completa;1;10;1;1877.4193548387098
Ala Completa;1;10;1;810.1935483870967
Media Pechuga;1;10;1;2175.0
Blanqueta;1;10;1;0.1774193548387097
Alón;1;10;1;0.08709677419354839
Punta;1;10;1;0.025806451612903226
Jamoncito;1;10;1;1095.4623655913979
Medio Muslo;1;10;1;1956.1827956989246
Entero;1;11;1;923.0
Medio Pollo;1;11;1;1021.5
Medio Pollo Superior;1;11;1;1258.8387096774195
Medio Pollo Inferior;1;11;1;1118.4193548387098
Cuarto de Pollo Superior;1;11;1;1458.8709677419356
Muslo Entero;1;11;1;1304.8225806451612
Pechuga Completa;1;11;1;1877.4193548387098
Ala Completa;1;11;1;810.1935483870967
Media Pechuga;1;11;1;2175.0
Blanqueta;1;11;1;0.1774193548387097
Alón;1;11;1;0.08709677419354839
Punta;1;11;1;0.025806451612903226
Jamoncito;1;11;1;1095.4623655913979
Medio Muslo;1;11;1;1956.1827956989246
Entero;1;12;1;923.0
Medio Pollo;1;12;1;1021.5
Medio Pollo Superior;1;12;1;1258.8387096774195
Medio Pollo Inferior;1;12;1;1118.4193548387098
Cuarto de Pollo Superior;1;12;1;1458.8709677419356
Muslo Entero;1;12;1;1304.8225806451612
Pechuga Completa;1;12;1;1877.4193548387098
Ala Completa;1;12;1;810.1935483870967
Media Pechuga;1;12;1;2175.0
Blanqueta;1;12;1;0.1774193548387097
Alón;1;12;1;0.08709677419354839
Punta;1;12;1;0.025806451612903226
Jamoncito;1;12;1;1095.4623655913979
Medio Muslo;1;12;1;1956.1827956989246
Entero;1;13;1;922.0
Medio Pollo;1;13;1;1021.5
Medio Pollo Superior;1;13;1;1258.8387096774195
Medio Pollo Inferior;1;13;1;1118.4193548387098
Cuarto de Pollo Superior;1;13;1;1459.1612903225807
Muslo Entero;1;13;1;1305.2419354838712
Pechuga Completa;1;13;1;1877.4193548387098
Ala Completa;1;13;1;810.1935483870967
Media Pechuga;1;13;1;2175.241935483871
Blanqueta;1;13;1;0.20698924731182797
Alón;1;13;1;0.10161290322580646
Punta;1;13;1;0.03010752688172043
Jamoncito;1;13;1;1095.4623655913979
Medio Muslo;1;13;1;1956.1827956989246
Entero;1;14;1;923.0
Medio Pollo;1;14;1;1021.5
Medio Pollo Superior;1;14;1;1258.8387096774195
Medio Pollo Inferior;1;14;1;1118.4193548387098
Cuarto de Pollo Superior;1;14;1;1458.8709677419356
Muslo Entero;1;14;1;1304.8225806451612
Pechuga Completa;1;14;1;1877.4193548387098
Ala Completa;1;14;1;810.1935483870967
Media Pechuga;1;14;1;2175.0
Blanqueta;1;14;1;0.1774193548387097
Alón;1;14;1;0.08709677419354839
Punta;1;14;1;0.025806451612903226
Jamoncito;1;14;1;1095.4623655913979
Medio Muslo;1;14;1;1956.1827956989246
Entero;1;15;1;923.0
Medio Pollo;1;15;1;1021.5
Medio Pollo Superior;1;15;1;1258.8387096774195
Medio Pollo Inferior;1;15;1;1118.4193548387098
Cuarto de Pollo Superior;1;15;1;1458.8709677419356
Muslo Entero;1;15;1;1304.8225806451612
Pechuga Completa;1;15;1;1877.4193548387098
Ala Completa;1;15;1;810.1935483870967
Media Pechuga;1;15;1;2175.0
Blanqueta;1;15;1;0.1774193548387097
Alón;1;15;1;0.08709677419354839
Punta;1;15;1;0.025806451612903226
Jamoncito;1;15;1;1095.4623655913979
Medio Muslo;1;15;1;1956.1827956989246
Entero;1;16;1;923.0
Medio Pollo;1;16;1;1021.5
Medio Pollo Superior;1;16;1;1258.8387096774195
Medio Pollo Inferior;1;16;1;1118.4193548387098
Cuarto de Pollo Superior;1;16;1;1458.8709677419356
Muslo Entero;1;16;1;1304.8225806451612
Pechuga Completa;1;16;1;1877.4193548387098
Ala Completa;1;16;1;810.1935483870967
Media Pechuga;1;16;1;2175.0
Blanqueta;1;16;1;0.1774193548387097
Alón;1;16;1;0.08709677419354839
Punta;1;16;1;0.025806451612903226
Jamoncito;1;16;1;1095.4623655913979
Medio Muslo;1;16;1;1956.1827956989246
Entero;1;17;1;923.0
Medio Pollo;1;17;1;1021.5
Medio Pollo Superior;1;17;1;1258.8387096774195
Medio Pollo Inferior;1;17;1;1118.4193548387098
Cuarto de Pollo Superior;1;17;1;1458.8709677419356
Muslo Entero;1;17;1;1304.8225806451612
Pechuga Completa;1;17;1;1877.4193548387098
Ala Completa;1;17;1;810.1935483870967
Media Pechuga;1;17;1;2175.0
Blanqueta;1;17;1;0.1774193548387097
Alón;1;17;1;0.08709677419354839
Punta;1;17;1;0.025806451612903226
Jamoncito;1;17;1;1095.4623655913979
Medio Muslo;1;17;1;1956.1827956989246
Entero;1;18;1;923.0
Medio Pollo;1;18;1;1021.5
Medio Pollo Superior;1;18;1;1258.8387096774195
Medio Pollo Inferior;1;18;1;1118.4193548387098
Cuarto de Pollo Superior;1;18;1;1458.8709677419356
Muslo Entero;1;18;1;1304.8225806451612
Pechuga Completa;1;18;1;1877.4193548387098
Ala Completa;1;18;1;810.1935483870967
Media Pechuga;1;18;1;2175.0
Blanqueta;1;18;1;0.1774193548387097
Alón;1;18;1;0.08709677419354839
Punta;1;18;1;0.025806451612903226
Jamoncito;1;18;1;1095.4623655913979
Medio Muslo;1;18;1;1956.1827956989246
Entero;1;19;1;923.0
Medio Pollo;1;19;1;1021.5
Medio Pollo Superior;1;19;1;1258.8387096774195
Medio Pollo Inferior;1;19;1;1118.4193548387098
Cuarto de Pollo Superior;1;19;1;1458.8709677419356
Muslo Entero;1;19;1;1304.8225806451612
Pechuga Completa;1;19;1;1877.4193548387098
Ala Completa;1;19;1;810.1935483870967
Media Pechuga;1;19;1;2175.0
Blanqueta;1;19;1;0.1774193548387097
Alón;1;19;1;0.08709677419354839
Punta;1;19;1;0.025806451612903226
Jamoncito;1;19;1;1095.4623655913979
Medio Muslo;1;19;1;1956.1827956989246
Entero;1;20;1;923.0
Medio Pollo;1;20;1;1021.5
Medio Pollo Superior;1;20;1;1258.8387096774195
Medio Pollo Inferior;1;20;1;1118.4193548387098
Cuarto de Pollo Superior;1;20;1;1458.8709677419356
Muslo Entero;1;20;1;1304.8225806451612
Pechuga Completa;1;20;1;1877.4193548387098
Ala Completa;1;20;1;810.1935483870967
Media Pechuga;1;20;1;2175.0
Blanqueta;1;20;1;0.1774193548387097
Alón;1;20;1;0.08709677419354839
Punta;1;20;1;0.025806451612903226
Jamoncito;1;20;1;1095.4623655913979
Medio Muslo;1;20;1;1956.1827956989246
Entero;1;21;1;923.0
Medio Pollo;1;21;1;1021.5
Medio Pollo Superior;1;21;1;1258.8387096774195
Medio Pollo Inferior;1;21;1;1118.4193548387098
Cuarto de Pollo Superior;1;21;1;1458.8709677419356
Muslo Entero;1;21;1;1304.8225806451612
Pechuga Completa;1;21;1;1877.4193548387098
Ala Completa;1;21;1;810.1935483870967
Media Pechuga;1;21;1;2175.0
Blanqueta;1;21;1;0.1774193548387097
Alón;1;21;1;0.08709677419354839
Punta;1;21;1;0.025806451612903226
Jamoncito;1;21;1;1095.4623655913979
Medio Muslo;1;21;1;1956.1827956989246
Entero;2;22;1;538.9999999982374
Medio Pollo;2;22;1;8.809593055048029e-10
Medio Pollo Superior;2;22;1;419.80645161290323
Medio Pollo Inferior;2;22;1;434.03225806451616
Cuarto de Pollo Superior;2;22;1;67.35483870967742
Muslo Entero;2;22;1;48.645161290692016
Pechuga Completa;2;22;1;3518.225806451613
Ala Completa;2;22;1;1178.1290322580644
Media Pechuga;2;22;1;3073.0645161294588
Blanqueta;2;22;1;85.63440860220264
Alón;2;22;1;42.038709677444935
Punta;2;22;1;12.4559139785022
Jamoncito;2;22;1;2003.6559139784945
Medio Muslo;2;22;1;3577.956989247312
Entero;2;23;1;2067.0
Medio Pollo;2;23;1;402.0
Medio Pollo Superior;2;23;1;2402.709677419355
Medio Pollo Inferior;2;23;1;0.0
Cuarto de Pollo Superior;2;23;1;1565.4193548387098
Muslo Entero;2;23;1;1299.1612903225807
Pechuga Completa;2;23;1;2562.0967741935483
Ala Completa;2;23;1;512.4193548387096
Media Pechuga;2;23;1;194.51612903225808
Blanqueta;2;23;1;23.7741935483871
Alón;2;23;1;11.670967741935485
Punta;2;23;1;3.458064516129032
Jamoncito;2;23;1;1420.021505376344
Medio Muslo;2;23;1;2535.752688172043
Entero;2;24;1;1.0
Medio Pollo;2;24;1;1131.0
Medio Pollo Superior;2;24;1;1368.0
Medio Pollo Inferior;2;24;1;2922.483870967742
Cuarto de Pollo Superior;2;24;1;1981.1612903225807
Muslo Entero;2;24;1;1905.1290322580646
Pechuga Completa;2;24;1;0.0
Ala Completa;2;24;1;674.4193548387096
Media Pechuga;2;24;1;3919.354838709677
Blanqueta;2;24;1;66.88709677419355
Alón;2;24;1;32.83548387096774
Punta;2;24;1;9.729032258064516
Jamoncito;2;24;1;354.6666666666667
Medio Muslo;2;24;1;633.3333333333333
Entero;2;25;1;1213.0
Medio Pollo;2;25;1;1291.5
Medio Pollo Superior;2;25;1;2736.5806451612907
Medio Pollo Inferior;2;25;1;0.0
Cuarto de Pollo Superior;2;25;1;1565.4193548387098
Muslo Entero;2;25;1;1672.177419354839
Pechuga Completa;2;25;1;1836.2903225806451
Ala Completa;2;25;1;367.258064516129
Media Pechuga;2;25;1;624.9193548387098
Blanqueta;2;25;1;76.37903225806453
Alón;2;25;1;37.495161290322585
Punta;2;25;1;11.109677419354838
Jamoncito;2;25;1;1280.774193548387
Medio Muslo;2;25;1;2287.0967741935483
Entero;2;26;1;0.0
Medio Pollo;2;26;1;1624.0
Medio Pollo Superior;2;26;1;0.0
Medio Pollo Inferior;2;26;1;1213.6129032258066
Cuarto de Pollo Superior;2;26;1;1565.4193548387098
