f;u;r;value
Entero;1;1;0.0
Entero;2;1;0.0
Entero;3;1;0.0
Entero;4;1;0.0
Entero;5;1;0.0
Entero;6;1;66.33560489026695
Entero;7;1;970.0
Entero;8;1;957.0000000000246
Medio Pollo;1;1;0.0
Medio Pollo;2;1;0.0
Medio Pollo;3;1;0.0
Medio Pollo;4;1;0.0
Medio Pollo;5;1;0.0
Medio Pollo;6;1;0.0
Medio Pollo;7;1;683.6250263186962
Medio Pollo;8;1;1056.5
Medio Pollo Superior;1;1;0.0
Medio Pollo Superior;2;1;0.0
Medio Pollo Superior;3;1;0.0
Medio Pollo Superior;4;1;0.0
Medio Pollo Superior;5;1;0.0
Medio Pollo Superior;6;1;0.0
Medio Pollo Superior;7;1;0.0
Medio Pollo Superior;8;1;899.742408521028
Medio Pollo Inferior;1;1;0.0
Medio Pollo Inferior;2;1;0.0
Medio Pollo Inferior;3;1;0.0
Medio Pollo Inferior;4;1;0.0
Medio Pollo Inferior;5;1;0.0
Medio Pollo Inferior;6;1;0.0
Medio Pollo Inferior;7;1;516.2973109382074
Medio Pollo Inferior;8;1;1110.4516129032259
Cuarto de Pollo Superior;1;1;0.0
Cuarto de Pollo Superior;2;1;0.0
Cuarto de Pollo Superior;3;1;0.0
Cuarto de Pollo Superior;4;1;0.0
Cuarto de Pollo Superior;5;1;0.0
Cuarto de Pollo Superior;6;1;0.0
Cuarto de Pollo Superior;7;1;0.0
Cuarto de Pollo Superior;8;1;1147.2001698324575
Muslo Entero;1;1;0.0
Muslo Entero;2;1;0.0
Muslo Entero;3;1;0.0
Muslo Entero;4;1;0.0
Muslo Entero;5;1;936.5710473902429
Muslo Entero;6;1;1301.6774193548388
Muslo Entero;7;1;1294.758064516129
Muslo Entero;8;1;1297.6935483870968
Pechuga Completa;1;1;0.0
Pechuga Completa;2;1;0.0
Pechuga Completa;3;1;0.0
Pechuga Completa;4;1;0.0
Pechuga Completa;5;1;0.0
Pechuga Completa;6;1;0.0
Pechuga Completa;7;1;0.0
Pechuga Completa;8;1;976.0920598308705
Ala Completa;1;1;0.0
Ala Completa;2;1;0.0
Ala Completa;3;1;0.0
Ala Completa;4;1;0.0
Ala Completa;5;1;51.996667629468675
Ala Completa;6;1;763.3548387096774
Ala Completa;7;1;773.1290322580645
Ala Completa;8;1;782.3225806451588
Media Pechuga;1;1;0.0
Media Pechuga;2;1;0.0
Media Pechuga;3;1;0.0
Media Pechuga;4;1;0.0
Media Pechuga;5;1;0.0
Media Pechuga;6;1;0.0
Media Pechuga;7;1;417.33930448490037
Media Pechuga;8;1;2252.4193548387098
Blanqueta;1;1;0.0
Blanqueta;2;1;0.0
Blanqueta;3;1;0.0
Blanqueta;4;1;0.0
Blanqueta;5;1;0.0
Blanqueta;6;1;0.0
Blanqueta;7;1;0.0
Blanqueta;8;1;0.0
Alón;1;1;0.0
Alón;2;1;0.0
Alón;3;1;0.0
Alón;4;1;0.0
Alón;5;1;0.0
Alón;6;1;0.0
Alón;7;1;0.0
Alón;8;1;0.0
Punta;1;1;0.0
Punta;2;1;0.0
Punta;3;1;0.0
Punta;4;1;0.0
Punta;5;1;0.0
Punta;6;1;0.0
Punta;7;1;0.0
Punta;8;1;0.0
Jamoncito;1;1;0.0
Jamoncito;2;1;0.0
Jamoncito;3;1;0.0
Jamoncito;4;1;0.0
Jamoncito;5;1;0.0
Jamoncito;6;1;0.0
Jamoncito;7;1;0.0
Jamoncito;8;1;263.9011282321792
Medio Muslo;1;1;0.0
Medio Muslo;2;1;0.0
Medio Muslo;3;1;0.0
Medio Muslo;4;1;0.0
Medio Muslo;5;1;0.0
Medio Muslo;6;1;0.0
Medio Muslo;7;1;0.0
Medio Muslo;8;1;0.0
Entero;1;2;0.0
Entero;2;2;0.0
Entero;3;2;0.0
Entero;4;2;0.0
Entero;5;2;0.0
Entero;6;2;0.0
Entero;7;2;0.0
Entero;8;2;608.9956844077501
Medio Pollo;1;2;0.0
Medio Pollo;2;2;0.0
Medio Pollo;3;2;0.0
Medio Pollo;4;2;0.0
Medio Pollo;5;2;0.0
Medio Pollo;6;2;0.0
Medio Pollo;7;2;0.0
Medio Pollo;8;2;847.8524918231313
Medio Pollo Superior;1;2;0.0
Medio Pollo Superior;2;2;0.0
Medio Pollo Superior;3;2;0.0
Medio Pollo Superior;4;2;0.0
Medio Pollo Superior;5;2;0.0
Medio Pollo Superior;6;2;0.0
Medio Pollo Superior;7;2;1003.4372893608735
Medio Pollo Superior;8;2;1323.8709677419356
Medio Pollo Inferior;1;2;0.0
Medio Pollo Inferior;2;2;0.0
Medio Pollo Inferior;3;2;0.0
Medio Pollo Inferior;4;2;0.0
Medio Pollo Inferior;5;2;0.0
Medio Pollo Inferior;6;2;0.0
Medio Pollo Inferior;7;2;0.0
Medio Pollo Inferior;8;2;229.83281127446423
Cuarto de Pollo Superior;1;2;0.0
Cuarto de Pollo Superior;2;2;0.0
Cuarto de Pollo Superior;3;2;0.0
Cuarto de Pollo Superior;4;2;0.0
