f;t;r;value
Entero;1;1;2818.9648802535803
Medio Pollo;1;1;2019.2693604686087
Medio Pollo Superior;1;1;1460.1736436454164
Medio Pollo Inferior;1;1;1887.6444889845388
Cuarto de Pollo Superior;1;1;1596.8802101580138
Muslo Entero;1;1;1274.8971726845932
Pechuga Completa;1;1;1774.4823413219021
Ala Completa;1;1;731.4214937101949
Media Pechuga;1;1;2450.2782134153836
Blanqueta;1;1;395.4972676893721
Alón;1;1;309.2458060208555
Punta;1;1;129.82590413674737
Jamoncito;1;1;1515.8052696464024
Medio Muslo;1;1;1488.4388382746195
Entero;2;1;2502.811910797739
Medio Pollo;2;1;2037.563849715762
Medio Pollo Superior;2;1;2339.1092405733148
Medio Pollo Inferior;2;1;1056.1090586152757
Cuarto de Pollo Superior;2;1;2401.2855641833303
Muslo Entero;2;1;1252.046267687208
Pechuga Completa;2;1;2471.768081673053
Ala Completa;2;1;818.7069836362875
Media Pechuga;2;1;1845.0687599569237
Blanqueta;2;1;422.1019329583592
Alón;2;1;209.48597315144931
Punta;2;1;152.25990148920437
Jamoncito;2;1;1511.263179943536
Medio Muslo;2;1;3334.56661307098
Entero;3;1;1612.9044185366322
Medio Pollo;3;1;1871.8945634709962
Medio Pollo Superior;3;1;1992.729150986076
Medio Pollo Inferior;3;1;2006.6830327358703
Cuarto de Pollo Superior;3;1;1377.5021728037264
Muslo Entero;3;1;2038.4590082219054
Pechuga Completa;3;1;1574.408143279726
Ala Completa;3;1;1157.3992493026042
Media Pechuga;3;1;2537.8404840839603
Blanqueta;3;1;176.17060941773602
Alón;3;1;165.07309616030884
Punta;3;1;112.95281594954845
Jamoncito;3;1;1855.5012716538354
Medio Muslo;3;1;3146.63751326724
Entero;4;1;1749.920050561856
Medio Pollo;4;1;1173.0716355434413
Medio Pollo Superior;4;1;2211.652906420575
Medio Pollo Inferior;4;1;1374.3698712772184
Cuarto de Pollo Superior;4;1;2572.4140975453515
Muslo Entero;4;1;1770.6730027969431
Pechuga Completa;4;1;2411.244051539303
Ala Completa;4;1;840.3014324890769
Media Pechuga;4;1;2527.742263983811
Blanqueta;4;1;267.5266897099999
Alón;4;1;135.61490056176874
Punta;4;1;73.42481978844555
Jamoncito;4;1;1841.6263206465837
Medio Muslo;4;1;1539.619057373581
Entero;5;1;2028.0879027200046
Medio Pollo;5;1;948.1479591919608
Medio Pollo Superior;5;1;1890.6011575565587
Medio Pollo Inferior;5;1;1767.4107308741802
Cuarto de Pollo Superior;5;1;2568.8409385451487
Muslo Entero;5;1;1625.9020426564953
Pechuga Completa;5;1;2147.505624184213
Ala Completa;5;1;719.1017803443851
Media Pechuga;5;1;2006.3419894823792
Blanqueta;5;1;315.1235304733637
Alón;5;1;189.39732352401433
Punta;5;1;65.99187854988995
Jamoncito;5;1;1054.8039581096423
Medio Muslo;5;1;2830.1876803687137
Entero;6;1;1647.028763679968
Medio Pollo;6;1;1945.6601700058688
Medio Pollo Superior;6;1;1281.1017805801291
Medio Pollo Inferior;6;1;1409.0365307867355
