f;n;t;r;value
Entero;1;1;1;60.18570358209831
Medio Pollo;1;1;1;62.25238971207064
Medio Pollo Superior;1;1;1;62.36193724897889
Medio Pollo Inferior;1;1;1;68.07397443556131
Cuarto de Pollo Superior;1;1;1;66.5155346321519
Muslo Entero;1;1;1;72.51081226942868
Pechuga Completa;1;1;1;66.80469995119776
Ala Completa;1;1;1;94.4360246973586
Media Pechuga;1;1;1;73.18381898960395
Blanqueta;1;1;1;109.12405352049916
Alón;1;1;1;113.5925371111301
Punta;1;1;1;117.923192937964
Jamoncito;1;1;1;95.14952874158308
Medio Muslo;1;1;1;73.27168465584738
Entero;1;2;1;60.18570358209831
Medio Pollo;1;2;1;62.25238971207064
Medio Pollo Superior;1;2;1;62.36193724897889
Medio Pollo Inferior;1;2;1;68.07397443556131
Cuarto de Pollo Superior;1;2;1;66.5155346321519
Muslo Entero;1;2;1;72.51081226942868
Pechuga Completa;1;2;1;66.80469995119776
Ala Completa;1;2;1;94.4360246973586
Media Pechuga;1;2;1;73.18381898960395
Blanqueta;1;2;1;109.12405352049916
Alón;1;2;1;113.5925371111301
Punta;1;2;1;117.923192937964
Jamoncito;1;2;1;95.14952874158308
Medio Muslo;1;2;1;73.27168465584738
Entero;1;3;1;60.18570358209831
Medio Pollo;1;3;1;62.25238971207064
Medio Pollo Superior;1;3;1;62.36193724897889
Medio Pollo Inferior;1;3;1;68.07397443556131
Cuarto de Pollo Superior;1;3;1;66.5155346321519
Muslo Entero;1;3;1;72.51081226942868
Pechuga Completa;1;3;1;66.80469995119776
Ala Completa;1;3;1;94.4360246973586
Media Pechuga;1;3;1;73.18381898960395
Blanqueta;1;3;1;109.12405352049916
Alón;1;3;1;113.5925371111301
Punta;1;3;1;117.923192937964
Jamoncito;1;3;1;95.14952874158308
Medio Muslo;1;3;1;73.27168465584738
Entero;1;4;1;60.18570358209831
Medio Pollo;1;4;1;62.25238971207064
Medio Pollo Superior;1;4;1;62.36193724897889
Medio Pollo Inferior;1;4;1;68.07397443556131
