t;r;value
1;1;977993.9926760935
2;1;1208002.96315792
3;1;1176232.8746370932
4;1;1169915.63531145
5;1;1161989.6832823872
6;1;1280366.8879926568
7;1;969514.3028783437
8;1;1218554.3708495477
9;1;1349861.7285655108
10;1;1212878.8464319552
11;1;1067252.9874757747
12;1;1151446.066510331
13;1;1334102.127681821
14;1;1155780.0299546474
15;1;1218072.6061326691
16;1;1385184.965354238
17;1;1281447.0557685213
18;1;1220298.2694758652
19;1;1142126.8941842667
20;1;1226139.4143923009
21;1;1204397.0665628081
22;1;1241933.5582818734
23;1;1292830.3568902207
24;1;1310342.5845702263
25;1;1086743.3437919144
26;1;1279548.1009014873
27;1;1087102.4950668213
28;1;1315108.8509048023
29;1;1233266.6999041738
30;1;1249558.3507487145
31;1;1401546.4657256997
32;1;1076452.3589782934
33;1;1061023.2199743593
34;1;1395553.046321367
35;1;1216209.00596481
36;1;1417859.6987942785
37;1;1225820.4261195615
38;1;1292359.5426539974
39;1;1239376.49161598
40;1;1267989.7225522078
41;1;1134188.5252945195
42;1;1301385.2943456431
43;1;1202205.9129539889
44;1;1180416.4572529579
45;1;1382457.31920686
46;1;1381749.6955197335
47;1;1219185.3392070197
48;1;1267240.1865819916
49;1;1123475.3154540271
50;1;1372431.7615305576
51;1;1148088.7814489831
52;1;1152298.999060886
53;1;1375942.527189674
54;1;1199335.9183419226
55;1;1256323.3569149338
56;1;1236273.1947891677
57;1;1176335.4889960515
58;1;1312078.8064613778
59;1;1244838.364453474
60;1;1285426.5644708201
61;1;1289912.3952579882
62;1;1025397.2152076592
63;1;1243804.0680979458
64;1;1290690.1124672466
65;1;1334454.555839039
66;1;1234581.3090980693
67;1;1198074.1533562131
68;1;1363294.2534388164
69;1;1149440.5201464775
70;1;1321883.5041150774
71;1;1101266.9168971768
72;1;1182007.332302514
73;1;1147420.3469948885
74;1;1289561.0059685016
75;1;1285528.961017856
76;1;1146033.3805303313
77;1;1363303.8228322205
78;1;1293267.5060586345
79;1;1162876.7020019772
80;1;1404989.1120809335
81;1;1290909.2391474547
82;1;1069195.9081890122
83;1;1229151.1507199567
84;1;1281700.3022409151
85;1;1155667.7248812974
86;1;1222831.404019938
87;1;1294351.8610767717
88;1;1176239.915735397
89;1;1158300.8088264128
90;1;1184996.6520809822
91;1;1175878.385908436
92;1;1453501.2451926377
93;1;1370211.2508961598
