f;t;r;value
Entero;1;1;1423.9999999999973
Medio Pollo;1;1;1516.0
Medio Pollo Superior;1;1;1766.3225806451715
Medio Pollo Inferior;1;1;1571.741935483871
Cuarto de Pollo Superior;1;1;1952.7096774193565
Muslo Entero;1;1;1747.0322580645172
Pechuga Completa;1;1;2438.709677419346
Ala Completa;1;1;890.8064516129015
Media Pechuga;1;1;2716.935483870968
Blanqueta;1;1;85.75268817204301
Alón;1;1;42.096774193548384
Punta;1;1;12.473118279569892
Jamoncito;1;1;1376.8172043010752
Medio Muslo;1;1;2458.602150537634
Entero;2;1;1423.9999999999973
Medio Pollo;2;1;1516.0
Medio Pollo Superior;2;1;1766.3225806451594
Medio Pollo Inferior;2;1;1571.741935483871
Cuarto de Pollo Superior;2;1;1952.7096774193592
Muslo Entero;2;1;1747.032258064519
Pechuga Completa;2;1;2438.7096774193546
Ala Completa;2;1;890.8064516129032
Media Pechuga;2;1;2716.935483870968
Blanqueta;2;1;85.75268817204301
Alón;2;1;42.096774193548384
Punta;2;1;12.473118279569892
Jamoncito;2;1;1376.8172043010745
Medio Muslo;2;1;2458.602150537633
Entero;3;1;1423.9999999999973
Medio Pollo;3;1;1516.0
Medio Pollo Superior;3;1;1766.3225806451655
Medio Pollo Inferior;3;1;1571.741935483871
Cuarto de Pollo Superior;3;1;1952.7096774193565
Muslo Entero;3;1;1747.0322580645172
Pechuga Completa;3;1;2438.709677419351
Ala Completa;3;1;890.8064516129025
Media Pechuga;3;1;2716.935483870968
Blanqueta;3;1;85.75268817204301
Alón;3;1;42.096774193548384
Punta;3;1;12.473118279569892
Jamoncito;3;1;1376.8172043010752
Medio Muslo;3;1;2458.602150537634
Entero;4;1;1423.9999999999982
Medio Pollo;4;1;1516.0
Medio Pollo Superior;4;1;1766.3225806451728
Medio Pollo Inferior;4;1;1571.741935483871
Cuarto de Pollo Superior;4;1;1952.709677419355
Muslo Entero;4;1;1747.0322580645088
Pechuga Completa;4;1;2438.709677419355
Ala Completa;4;1;890.8064516129032
Media Pechuga;4;1;2716.9354838709596
Blanqueta;4;1;85.75268817204196
Alón;4;1;42.09677419354787
Punta;4;1;12.47311827956974
Jamoncito;4;1;1376.8172043010782
Medio Muslo;4;1;2458.6021505376393
Entero;5;1;1423.9999999999982
Medio Pollo;5;1;1516.0
