f;t;r;value
Entero;1;1;104146.94917269649
Medio Pollo;1;1;112893.9936284716
Medio Pollo Superior;1;1;101092.68765316975
Medio Pollo Inferior;1;1;126224.51318366127
Cuarto de Pollo Superior;1;1;116139.1718726591
Muslo Entero;1;1;107185.91801328605
Pechuga Completa;1;1;127948.54277509476
Ala Completa;1;1;58034.622184377906
Media Pechuga;1;1;191091.6887954284
Blanqueta;1;1;19016.929346056117
Alón;1;1;9776.1039116375
Punta;1;1;2146.4405467456013
Jamoncito;1;1;151338.06988211814
Medio Muslo;1;1;121491.78634554427
Entero;2;1;106515.99115656024
Medio Pollo;2;1;116095.46508957751
Medio Pollo Superior;2;1;157689.13132525777
Medio Pollo Inferior;2;1;86727.07848247452
Cuarto de Pollo Superior;2;1;176950.8608021073
Muslo Entero;2;1;106867.04735602638
Pechuga Completa;2;1;180101.02219865075
Ala Completa;2;1;66421.62806416834
Media Pechuga;2;1;145189.76075995498
Blanqueta;2;1;19661.138319472302
Alón;2;1;8114.820296093296
Punta;2;1;2902.5745391153664
Jamoncito;2;1;155627.2771614958
Medio Muslo;2;1;275042.90710073506
Entero;3;1;80744.06436691336
Medio Pollo;3;1;116095.46508957751
Medio Pollo Superior;3;1;131469.61282937566
Medio Pollo Inferior;3;1;167791.01338813434
Cuarto de Pollo Superior;3;1;102867.815959904
Muslo Entero;3;1;176679.8045900708
Pechuga Completa;3;1;115936.08874042878
Ala Completa;3;1;96073.70986017259
Media Pechuga;3;1;201540.59218821782
Blanqueta;3;1;11595.906023159105
Alón;3;1;7083.07706915016
Punta;3;1;2542.877283933591
Jamoncito;3;1;155627.2771614958
Medio Muslo;3;1;201561.93661980575
Entero;4;1;88794.49843930501
Medio Pollo;4;1;89929.89023837818
Medio Pollo Superior;4;1;131469.61282937566
Medio Pollo Inferior;4;1;135284.06459031615
Cuarto de Pollo Superior;4;1;194686.1622053227
Muslo Entero;4;1;155862.21233552764
Pechuga Completa;4;1;179476.61286995473
Ala Completa;4;1;71417.52124298971
Media Pechuga;4;1;202601.42184699673
Blanqueta;4;1;19257.897357361344
Alón;4;1;6519.246723954004
Punta;4;1;2017.5023248996745
Jamoncito;4;1;155617.08607739033
Medio Muslo;4;1;129716.16620121636
Entero;5;1;104266.43962165686
Medio Pollo;5;1;74070.81082145305
Medio Pollo Superior;5;1;131469.61282937566
Medio Pollo Inferior;5;1;129979.43922046012
Cuarto de Pollo Superior;5;1;166232.85463351346
Muslo Entero;5;1;145417.57426029473
Pechuga Completa;5;1;161582.04788024188
Ala Completa;5;1;62597.7169313945
Media Pechuga;5;1;162324.62317983297
Blanqueta;5;1;25049.7243349062
Alón;5;1;10359.577459424865
Punta;5;1;2328.62200287537
Jamoncito;5;1;141789.11690564442
Medio Muslo;5;1;241048.3934903803
Entero;6;1;85859.36821118048
Medio Pollo;6;1;154948.33200974436
