f;t;r;value
Entero;1;1;54.090168758948096
Medio Pollo;1;1;56.166165984314226
Medio Pollo Superior;1;1;56.02790121513493
Medio Pollo Inferior;1;1;62.33110707255043
Cuarto de Pollo Superior;1;1;60.17891567302123
Muslo Entero;1;1;66.76164002217033
Pechuga Completa;1;1;59.40427799034828
Ala Completa;1;1;93.45492134465758
Media Pechuga;1;1;65.78055460744707
Blanqueta;1;1;107.88800234310035
Alón;1;1;112.97871696067666
Punta;1;1;117.73926052235231
Jamoncito;1;1;91.26180945507896
Medio Muslo;1;1;66.489312388491
Entero;2;1;54.090168758948096
Medio Pollo;2;1;56.166165984314226
Medio Pollo Superior;2;1;56.02790121513493
Medio Pollo Inferior;2;1;62.33110707255043
Cuarto de Pollo Superior;2;1;60.178915673021244
Muslo Entero;2;1;66.76164002217033
Pechuga Completa;2;1;59.40427799034828
Ala Completa;2;1;93.45492134465756
Media Pechuga;2;1;65.78055460744707
Blanqueta;2;1;107.88800234310035
Alón;2;1;112.97871696067666
Punta;2;1;117.73926052235231
Jamoncito;2;1;91.26180945507896
Medio Muslo;2;1;66.489312388491
Entero;3;1;54.090168758948096
Medio Pollo;3;1;56.16616598431423
Medio Pollo Superior;3;1;56.02790121513493
Medio Pollo Inferior;3;1;62.33110707255043
Cuarto de Pollo Superior;3;1;60.178915673021244
Muslo Entero;3;1;66.76164002217033
Pechuga Completa;3;1;59.40427799034828
Ala Completa;3;1;93.45492134465756
Media Pechuga;3;1;65.78055460744707
Blanqueta;3;1;107.88800234310037
Alón;3;1;112.97871696067666
Punta;3;1;117.73926052235231
Jamoncito;3;1;91.26180945507896
Medio Muslo;3;1;66.489312388491
Entero;4;1;54.090168758948096
Medio Pollo;4;1;56.16616598431423
Medio Pollo Superior;4;1;56.02790121513493
Medio Pollo Inferior;4;1;62.33110707255043
Cuarto de Pollo Superior;4;1;60.178915673021244
Muslo Entero;4;1;66.76164002217033
Pechuga Completa;4;1;59.40427799034828
Ala Completa;4;1;93.45492134465756
Media Pechuga;4;1;65.78055460744707
Blanqueta;4;1;107.88800234310037
Alón;4;1;112.97871696067666
Punta;4;1;117.73926052235231
Jamoncito;4;1;91.26180945507896
Medio Muslo;4;1;66.489312388491
Entero;5;1;54.090168758948096
Medio Pollo;5;1;56.16616598431423
Medio Pollo Superior;5;1;56.02790121513493
Medio Pollo Inferior;5;1;62.33110707255043
Cuarto de Pollo Superior;5;1;60.178915673021244
Muslo Entero;5;1;66.76164002217033
Pechuga Completa;5;1;59.40427799034828
Ala Completa;5;1;93.45492134465756
Media Pechuga;5;1;65.78055460744707
Blanqueta;5;1;107.88800234310037
Alón;5;1;112.97871696067666
Punta;5;1;117.73926052235231
Jamoncito;5;1;91.26180945507896
Medio Muslo;5;1;66.489312388491
Entero;6;1;54.090168758948096
Medio Pollo;6;1;56.16616598431423
Medio Pollo Superior;6;1;56.02790121513493
Medio Pollo Inferior;6;1;62.33110707255043
Cuarto de Pollo Superior;6;1;60.178915673021244
Muslo Entero;6;1;66.76164002217033
Pechuga Completa;6;1;59.404277990348284
Ala Completa;6;1;93.45492134465756
Media Pechuga;6;1;65.78055460744707
Blanqueta;6;1;107.88800234310037
Alón;6;1;112.97871696067666
Punta;6;1;117.73926052235231
Jamoncito;6;1;91.26180945507896
Medio Muslo;6;1;66.489312388491
Entero;7;1;54.090168758948096
Medio Pollo;7;1;56.16616598431423
Medio Pollo Superior;7;1;56.02790121513493
Medio Pollo Inferior;7;1;62.33110707255043
Cuarto de Pollo Superior;7;1;60.178915673021244
Muslo Entero;7;1;66.76164002217033
Pechuga Completa;7;1;59.404277990348284
Ala Completa;7;1;93.45492134465756
Media Pechuga;7;1;65.78055460744707
Blanqueta;7;1;107.88800234310037
Alón;7;1;112.97871696067666
Punta;7;1;117.73926052235231
Jamoncito;7;1;91.26180945507896
Medio Muslo;7;1;66.489312388491
Entero;8;1;51.56574026236376
Medio Pollo;8;1;53.62300624705369
Medio Pollo Superior;8;1;52.958931239689846
Medio Pollo Inferior;8;1;60.51803102186167
Cuarto de Pollo Superior;8;1;57.110541765999685
Muslo Entero;8;1;64.94990531873712
Pechuga Completa;8;1;55.8986638209826
Ala Completa;8;1;92.57211571565658
Media Pechuga;8;1;62.27186636841122
Blanqueta;8;1;106.77216917341468
Alón;8;1;112.36914973271574
Punta;8;1;117.54489123872267
Jamoncito;8;1;89.99817209320742
Medio Muslo;8;1;64.36576722770899
Entero;9;1;51.56574026236376
Medio Pollo;9;1;53.62300624705369
Medio Pollo Superior;9;1;52.958931239689846
Medio Pollo Inferior;9;1;60.51803102186167
Cuarto de Pollo Superior;9;1;57.110541765999706
Muslo Entero;9;1;64.94990531873712
Pechuga Completa;9;1;55.8986638209826
Ala Completa;9;1;92.57211571565661
Media Pechuga;9;1;62.27186636841122
Blanqueta;9;1;106.77216917341471
Alón;9;1;112.36914973271574
Punta;9;1;117.54489123872267
Jamoncito;9;1;89.99817209320742
Medio Muslo;9;1;64.36576722770899
Entero;10;1;51.56574026236376
Medio Pollo;10;1;53.62300624705369
Medio Pollo Superior;10;1;52.958931239689846
Medio Pollo Inferior;10;1;60.51803102186167
Cuarto de Pollo Superior;10;1;57.110541765999706
Muslo Entero;10;1;64.94990531873712
Pechuga Completa;10;1;55.8986638209826
Ala Completa;10;1;92.57211571565661
Media Pechuga;10;1;62.27186636841122
Blanqueta;10;1;106.77216917341471
Alón;10;1;112.36914973271574
Punta;10;1;117.54489123872267
Jamoncito;10;1;89.99817209320742
Medio Muslo;10;1;64.36576722770899
Entero;11;1;51.565740262363754
Medio Pollo;11;1;53.62300624705369
Medio Pollo Superior;11;1;52.958931239689846
Medio Pollo Inferior;11;1;60.51803102186167
Cuarto de Pollo Superior;11;1;57.110541765999706
Muslo Entero;11;1;64.94990531873712
Pechuga Completa;11;1;55.8986638209826
Ala Completa;11;1;92.57211571565661
Media Pechuga;11;1;62.27186636841122
Blanqueta;11;1;106.77216917341471
Alón;11;1;112.36914973271574
Punta;11;1;117.54489123872267
Jamoncito;11;1;89.99817209320742
Medio Muslo;11;1;64.36576722770899
Entero;12;1;51.565740262363754
Medio Pollo;12;1;53.62300624705369
Medio Pollo Superior;12;1;52.958931239689846
Medio Pollo Inferior;12;1;60.51803102186167
Cuarto de Pollo Superior;12;1;57.110541765999706
Muslo Entero;12;1;64.94990531873712
Pechuga Completa;12;1;55.8986638209826
Ala Completa;12;1;92.57211571565661
Media Pechuga;12;1;62.27186636841122
Blanqueta;12;1;106.77216917341471
Alón;12;1;112.36914973271574
Punta;12;1;117.54489123872267
Jamoncito;12;1;89.99817209320742
Medio Muslo;12;1;64.36576722770899
Entero;13;1;51.565740262363754
Medio Pollo;13;1;53.62300624705369
Medio Pollo Superior;13;1;52.95893123968986
Medio Pollo Inferior;13;1;60.51803102186167
Cuarto de Pollo Superior;13;1;57.110541765999706
Muslo Entero;13;1;64.94990531873712
Pechuga Completa;13;1;55.8986638209826
Ala Completa;13;1;92.57211571565661
Media Pechuga;13;1;62.27186636841122
Blanqueta;13;1;106.77216917341471
Alón;13;1;112.36914973271574
Punta;13;1;117.54489123872266
Jamoncito;13;1;89.99817209320742
Medio Muslo;13;1;64.36576722770899
Entero;14;1;51.565740262363754
Medio Pollo;14;1;53.62300624705369
Medio Pollo Superior;14;1;52.95893123968986
Medio Pollo Inferior;14;1;60.518031021861674
Cuarto de Pollo Superior;14;1;57.110541765999706
Muslo Entero;14;1;64.94990531873711
Pechuga Completa;14;1;55.8986638209826
Ala Completa;14;1;92.57211571565661
Media Pechuga;14;1;62.27186636841121
Blanqueta;14;1;106.77216917341471
Alón;14;1;112.36914973271574
Punta;14;1;117.54489123872266
Jamoncito;14;1;89.99817209320742
Medio Muslo;14;1;64.36576722770899
Entero;15;1;51.345299191078986
Medio Pollo;15;1;53.40341805849308
Medio Pollo Superior;15;1;53.81469843473761
Medio Pollo Inferior;15;1;58.80594790760849
Cuarto de Pollo Superior;15;1;57.96762741731409
Muslo Entero;15;1;63.23798321522368
Pechuga Completa;15;1;56.92262349793531
Ala Completa;15;1;92.59231483244847
Media Pechuga;15;1;63.293924707271906
Blanqueta;15;1;106.74333318420582
Alón;15;1;112.47497151451687
Punta;15;1;117.6115981307581
Jamoncito;15;1;88.6356233248185
Medio Muslo;15;1;62.45756258787216
Entero;16;1;51.345299191078986
Medio Pollo;16;1;53.40341805849308
Medio Pollo Superior;16;1;53.81469843473761
Medio Pollo Inferior;16;1;58.80594790760849
Cuarto de Pollo Superior;16;1;57.96762741731409
Muslo Entero;16;1;63.23798321522368
Pechuga Completa;16;1;56.92262349793531
Ala Completa;16;1;92.59231483244847
Media Pechuga;16;1;63.29392470727192
Blanqueta;16;1;106.74333318420582
Alón;16;1;112.47497151451685
Punta;16;1;117.61159813075811
Jamoncito;16;1;88.6356233248185
Medio Muslo;16;1;62.45756258787216
Entero;17;1;51.345299191078986
Medio Pollo;17;1;53.40341805849308
Medio Pollo Superior;17;1;53.81469843473761
Medio Pollo Inferior;17;1;58.80594790760849
Cuarto de Pollo Superior;17;1;57.967627417314084
Muslo Entero;17;1;63.23798321522368
Pechuga Completa;17;1;56.92262349793531
Ala Completa;17;1;92.59231483244847
Media Pechuga;17;1;63.29392470727192
Blanqueta;17;1;106.74333318420582
Alón;17;1;112.47497151451685
Punta;17;1;117.61159813075811
Jamoncito;17;1;88.6356233248185
Medio Muslo;17;1;62.45756258787216
Entero;18;1;51.345299191078986
Medio Pollo;18;1;53.40341805849308
Medio Pollo Superior;18;1;53.81469843473761
Medio Pollo Inferior;18;1;58.80594790760849
Cuarto de Pollo Superior;18;1;57.96762741731409
Muslo Entero;18;1;63.23798321522368
Pechuga Completa;18;1;56.92262349793531
Ala Completa;18;1;92.59231483244847
Media Pechuga;18;1;63.29392470727192
Blanqueta;18;1;106.74333318420582
Alón;18;1;112.47497151451685
Punta;18;1;117.61159813075811
Jamoncito;18;1;88.6356233248185
Medio Muslo;18;1;62.45756258787216
Entero;19;1;51.345299191078986
Medio Pollo;19;1;53.40341805849308
Medio Pollo Superior;19;1;53.81469843473761
Medio Pollo Inferior;19;1;58.80594790760849
Cuarto de Pollo Superior;19;1;57.9676274173141
Muslo Entero;19;1;63.23798321522368
Pechuga Completa;19;1;56.92262349793531
Ala Completa;19;1;92.59231483244848
Media Pechuga;19;1;63.29392470727192
Blanqueta;19;1;106.74333318420582
Alón;19;1;112.47497151451685
Punta;19;1;117.61159813075811
Jamoncito;19;1;88.6356233248185
Medio Muslo;19;1;62.45756258787216
Entero;20;1;51.345299191078986
Medio Pollo;20;1;53.40341805849308
Medio Pollo Superior;20;1;53.814698434737615
Medio Pollo Inferior;20;1;58.80594790760849
Cuarto de Pollo Superior;20;1;57.967627417314105
Muslo Entero;20;1;63.23798321522368
Pechuga Completa;20;1;56.92262349793531
Ala Completa;20;1;92.59231483244848
Media Pechuga;20;1;63.29392470727192
Blanqueta;20;1;106.74333318420581
Alón;20;1;112.47497151451685
Punta;20;1;117.61159813075811
Jamoncito;20;1;88.6356233248185
Medio Muslo;20;1;62.45756258787216
Entero;21;1;51.345299191078986
Medio Pollo;21;1;53.40341805849308
Medio Pollo Superior;21;1;53.814698434737615
Medio Pollo Inferior;21;1;58.80594790760849
Cuarto de Pollo Superior;21;1;57.967627417314105
Muslo Entero;21;1;63.23798321522368
Pechuga Completa;21;1;56.92262349793531
Ala Completa;21;1;92.59231483244848
Media Pechuga;21;1;63.29392470727192
Blanqueta;21;1;106.74333318420581
Alón;21;1;112.47497151451685
Punta;21;1;117.61159813075811
Jamoncito;21;1;88.6356233248185
Medio Muslo;21;1;62.45756258787216
Entero;22;1;51.51672314567506
Medio Pollo;22;1;53.577435030542254
Medio Pollo Superior;22;1;53.64959331447466
Medio Pollo Inferior;22;1;59.4542790380952
Cuarto de Pollo Superior;22;1;57.799182078865805
Muslo Entero;22;1;63.886162572774126
Pechuga Completa;22;1;56.668844549916166
Ala Completa;22;1;92.84321281215415
Media Pechuga;22;1;63.04281880888851
Blanqueta;22;1;107.14157316336838
Alón;22;1;112.52854522593583
Punta;22;1;117.51685305468031
Jamoncito;22;1;89.14102292866735
Medio Muslo;22;1;63.18569649184102
Entero;23;1;51.51672314567506
Medio Pollo;23;1;53.577435030542254
Medio Pollo Superior;23;1;53.64959331447466
Medio Pollo Inferior;23;1;59.4542790380952
Cuarto de Pollo Superior;23;1;57.799182078865805
Muslo Entero;23;1;63.886162572774126
Pechuga Completa;23;1;56.668844549916166
Ala Completa;23;1;92.84321281215415
Media Pechuga;23;1;63.042818808888526
Blanqueta;23;1;107.14157316336838
Alón;23;1;112.52854522593583
Punta;23;1;117.51685305468031
Jamoncito;23;1;89.14102292866734
Medio Muslo;23;1;63.18569649184102
Entero;24;1;51.51672314567506
Medio Pollo;24;1;53.577435030542254
Medio Pollo Superior;24;1;53.64959331447466
Medio Pollo Inferior;24;1;59.4542790380952
Cuarto de Pollo Superior;24;1;57.799182078865805
Muslo Entero;24;1;63.886162572774126
Pechuga Completa;24;1;56.668844549916166
Ala Completa;24;1;92.84321281215415
Media Pechuga;24;1;63.042818808888526
Blanqueta;24;1;107.14157316336838
Alón;24;1;112.52854522593583
Punta;24;1;117.51685305468031
Jamoncito;24;1;89.14102292866734
Medio Muslo;24;1;63.18569649184102
Entero;25;1;51.51672314567506
Medio Pollo;25;1;53.577435030542254
Medio Pollo Superior;25;1;53.64959331447466
Medio Pollo Inferior;25;1;59.4542790380952
Cuarto de Pollo Superior;25;1;57.799182078865805
Muslo Entero;25;1;63.886162572774126
Pechuga Completa;25;1;56.668844549916166
Ala Completa;25;1;92.84321281215415
Media Pechuga;25;1;63.042818808888526
Blanqueta;25;1;107.14157316336838
Alón;25;1;112.52854522593583
Punta;25;1;117.51685305468031
Jamoncito;25;1;89.14102292866734
Medio Muslo;25;1;63.18569649184102
Entero;26;1;51.51672314567506
Medio Pollo;26;1;53.577435030542254
Medio Pollo Superior;26;1;53.64959331447466
Medio Pollo Inferior;26;1;59.4542790380952
Cuarto de Pollo Superior;26;1;57.799182078865805
Muslo Entero;26;1;63.886162572774126
Pechuga Completa;26;1;56.668844549916166
Ala Completa;26;1;92.84321281215414
Media Pechuga;26;1;63.042818808888526
Blanqueta;26;1;107.14157316336838
Alón;26;1;112.52854522593583
Punta;26;1;117.51685305468034
Jamoncito;26;1;89.14102292866734
Medio Muslo;26;1;63.18569649184102
Entero;27;1;51.51672314567506
Medio Pollo;27;1;53.57743503054226
Medio Pollo Superior;27;1;53.64959331447466
Medio Pollo Inferior;27;1;59.4542790380952
Cuarto de Pollo Superior;27;1;57.799182078865805
Muslo Entero;27;1;63.886162572774126
Pechuga Completa;27;1;56.668844549916166
Ala Completa;27;1;92.84321281215414
Media Pechuga;27;1;63.042818808888526
Blanqueta;27;1;107.14157316336838
Alón;27;1;112.52854522593583
Punta;27;1;117.51685305468034
Jamoncito;27;1;89.14102292866734
Medio Muslo;27;1;63.18569649184102
Entero;28;1;51.51672314567506
Medio Pollo;28;1;53.57743503054226
Medio Pollo Superior;28;1;53.64959331447466
Medio Pollo Inferior;28;1;59.4542790380952
Cuarto de Pollo Superior;28;1;57.799182078865805
Muslo Entero;28;1;63.886162572774126
Pechuga Completa;28;1;56.668844549916166
Ala Completa;28;1;92.84321281215414
Media Pechuga;28;1;63.042818808888526
Blanqueta;28;1;107.14157316336838
Alón;28;1;112.52854522593584
Punta;28;1;117.51685305468034
Jamoncito;28;1;89.14102292866734
Medio Muslo;28;1;63.18569649184102
Entero;29;1;51.5315265146649
Medio Pollo;29;1;53.548662374103706
Medio Pollo Superior;29;1;53.01536185604399
Medio Pollo Inferior;29;1;60.2615020003905
Cuarto de Pollo Superior;29;1;57.170211492331056
Muslo Entero;29;1;64.69826552657479
Pechuga Completa;29;1;55.857007488234416
Ala Completa;29;1;93.14747137844064
Media Pechuga;29;1;62.222841202879536
Blanqueta;29;1;107.47250876022727
Alón;29;1;112.81895362827048
Punta;29;1;117.6913871255048
Jamoncito;29;1;91.31353755338407
Medio Muslo;29;1;63.232441825962034
Entero;30;1;51.5315265146649
Medio Pollo;30;1;53.548662374103706
Medio Pollo Superior;30;1;53.01536185604399
Medio Pollo Inferior;30;1;60.2615020003905
Cuarto de Pollo Superior;30;1;57.170211492331056
Muslo Entero;30;1;64.69826552657479
Pechuga Completa;30;1;55.85700748823441
Ala Completa;30;1;93.14747137844064
Media Pechuga;30;1;62.222841202879536
Blanqueta;30;1;107.47250876022727
Alón;30;1;112.81895362827048
Punta;30;1;117.69138712550479
Jamoncito;30;1;91.31353755338407
Medio Muslo;30;1;63.23244182596205
Entero;31;1;51.5315265146649
Medio Pollo;31;1;53.548662374103706
Medio Pollo Superior;31;1;53.01536185604399
Medio Pollo Inferior;31;1;60.2615020003905
Cuarto de Pollo Superior;31;1;57.170211492331056
Muslo Entero;31;1;64.69826552657479
Pechuga Completa;31;1;55.85700748823441
Ala Completa;31;1;93.14747137844064
Media Pechuga;31;1;62.222841202879536
Blanqueta;31;1;107.47250876022727
Alón;31;1;112.81895362827048
Punta;31;1;117.69138712550479
Jamoncito;31;1;91.31353755338407
Medio Muslo;31;1;63.23244182596205
Entero;32;1;51.5315265146649
Medio Pollo;32;1;53.548662374103706
Medio Pollo Superior;32;1;53.01536185604399
Medio Pollo Inferior;32;1;60.2615020003905
Cuarto de Pollo Superior;32;1;57.170211492331056
Muslo Entero;32;1;64.69826552657479
Pechuga Completa;32;1;55.85700748823441
Ala Completa;32;1;93.14747137844067
Media Pechuga;32;1;62.222841202879536
Blanqueta;32;1;107.47250876022727
Alón;32;1;112.81895362827046
Punta;32;1;117.69138712550479
Jamoncito;32;1;91.31353755338407
Medio Muslo;32;1;63.23244182596205
Entero;33;1;51.5315265146649
Medio Pollo;33;1;53.548662374103706
Medio Pollo Superior;33;1;53.01536185604399
Medio Pollo Inferior;33;1;60.2615020003905
Cuarto de Pollo Superior;33;1;57.170211492331056
Muslo Entero;33;1;64.69826552657479
Pechuga Completa;33;1;55.8570074882344
Ala Completa;33;1;93.14747137844067
Media Pechuga;33;1;62.222841202879536
Blanqueta;33;1;107.47250876022727
Alón;33;1;112.81895362827045
Punta;33;1;117.69138712550479
Jamoncito;33;1;91.31353755338407
Medio Muslo;33;1;63.23244182596205
Entero;34;1;51.5315265146649
Medio Pollo;34;1;53.548662374103706
Medio Pollo Superior;34;1;53.01536185604399
Medio Pollo Inferior;34;1;60.2615020003905
Cuarto de Pollo Superior;34;1;57.170211492331056
Muslo Entero;34;1;64.69826552657479
Pechuga Completa;34;1;55.85700748823441
Ala Completa;34;1;93.14747137844067
Media Pechuga;34;1;62.222841202879536
Blanqueta;34;1;107.47250876022727
Alón;34;1;112.81895362827046
Punta;34;1;117.69138712550479
Jamoncito;34;1;91.31353755338407
Medio Muslo;34;1;63.23244182596205
Entero;35;1;51.5315265146649
Medio Pollo;35;1;53.548662374103706
Medio Pollo Superior;35;1;53.01536185604399
Medio Pollo Inferior;35;1;60.2615020003905
Cuarto de Pollo Superior;35;1;57.170211492331056
Muslo Entero;35;1;64.69826552657479
Pechuga Completa;35;1;55.85700748823441
Ala Completa;35;1;93.14747137844067
Media Pechuga;35;1;62.22284120287953
Blanqueta;35;1;107.47250876022724
Alón;35;1;112.81895362827046
Punta;35;1;117.69138712550479
Jamoncito;35;1;91.31353755338408
Medio Muslo;35;1;63.23244182596205
Entero;36;1;51.6958588602296
Medio Pollo;36;1;53.75094383150426
Medio Pollo Superior;36;1;54.405106334124554
Medio Pollo Inferior;36;1;58.81672210922989
Cuarto de Pollo Superior;36;1;58.55855168204355
Muslo Entero;36;1;63.25095944279803
Pechuga Completa;36;1;57.48388123501401
Ala Completa;36;1;93.32019458799246
Media Pechuga;36;1;63.85690725977908
Blanqueta;36;1;107.66421704946661
Alón;36;1;112.99702720539344
Punta;36;1;117.71301412618358
Jamoncito;36;1;90.15381593856874
Medio Muslo;36;1;61.62355651634794
Entero;37;1;51.69585886022959
Medio Pollo;37;1;53.75094383150426
Medio Pollo Superior;37;1;54.405106334124554
Medio Pollo Inferior;37;1;58.816722109229886
Cuarto de Pollo Superior;37;1;58.55855168204357
Muslo Entero;37;1;63.25095944279803
Pechuga Completa;37;1;57.48388123501401
Ala Completa;37;1;93.32019458799248
Media Pechuga;37;1;63.856907259779085
Blanqueta;37;1;107.66421704946661
Alón;37;1;112.99702720539342
Punta;37;1;117.71301412618358
Jamoncito;37;1;90.15381593856873
Medio Muslo;37;1;61.62355651634794
Entero;38;1;51.69585886022959
Medio Pollo;38;1;53.75094383150426
Medio Pollo Superior;38;1;54.405106334124554
Medio Pollo Inferior;38;1;58.816722109229886
Cuarto de Pollo Superior;38;1;58.55855168204357
Muslo Entero;38;1;63.25095944279802
Pechuga Completa;38;1;57.48388123501401
Ala Completa;38;1;93.32019458799248
Media Pechuga;38;1;63.856907259779085
Blanqueta;38;1;107.66421704946661
Alón;38;1;112.99702720539342
Punta;38;1;117.71301412618358
Jamoncito;38;1;90.15381593856873
Medio Muslo;38;1;61.62355651634794
Entero;39;1;51.69585886022959
Medio Pollo;39;1;53.75094383150426
Medio Pollo Superior;39;1;54.405106334124554
Medio Pollo Inferior;39;1;58.816722109229886
Cuarto de Pollo Superior;39;1;58.55855168204357
Muslo Entero;39;1;63.25095944279802
Pechuga Completa;39;1;57.48388123501401
Ala Completa;39;1;93.32019458799248
Media Pechuga;39;1;63.856907259779085
Blanqueta;39;1;107.66421704946661
Alón;39;1;112.99702720539342
Punta;39;1;117.71301412618358
Jamoncito;39;1;90.15381593856873
Medio Muslo;39;1;61.62355651634794
Entero;40;1;51.69585886022959
Medio Pollo;40;1;53.75094383150426
Medio Pollo Superior;40;1;54.40510633412456
Medio Pollo Inferior;40;1;58.816722109229886
Cuarto de Pollo Superior;40;1;58.55855168204357
Muslo Entero;40;1;63.25095944279802
Pechuga Completa;40;1;57.48388123501401
Ala Completa;40;1;93.32019458799248
Media Pechuga;40;1;63.856907259779085
Blanqueta;40;1;107.66421704946661
Alón;40;1;112.99702720539342
Punta;40;1;117.71301412618358
Jamoncito;40;1;90.15381593856873
Medio Muslo;40;1;61.62355651634794
Entero;41;1;51.69585886022959
Medio Pollo;41;1;53.75094383150426
Medio Pollo Superior;41;1;54.405106334124554
Medio Pollo Inferior;41;1;58.816722109229886
Cuarto de Pollo Superior;41;1;58.55855168204357
Muslo Entero;41;1;63.25095944279802
Pechuga Completa;41;1;57.48388123501401
Ala Completa;41;1;93.32019458799248
Media Pechuga;41;1;63.856907259779085
Blanqueta;41;1;107.66421704946661
Alón;41;1;112.99702720539342
Punta;41;1;117.71301412618358
Jamoncito;41;1;90.15381593856873
Medio Muslo;41;1;61.62355651634794
Entero;42;1;51.69585886022959
Medio Pollo;42;1;53.75094383150425
Medio Pollo Superior;42;1;54.405106334124554
Medio Pollo Inferior;42;1;58.816722109229886
Cuarto de Pollo Superior;42;1;58.55855168204357
Muslo Entero;42;1;63.25095944279802
Pechuga Completa;42;1;57.48388123501401
Ala Completa;42;1;93.32019458799248
Media Pechuga;42;1;63.856907259779085
Blanqueta;42;1;107.66421704946661
Alón;42;1;112.99702720539342
Punta;42;1;117.71301412618357
Jamoncito;42;1;90.15381593856873
Medio Muslo;42;1;61.623556516347925
Entero;43;1;52.60028902392685
Medio Pollo;43;1;54.65784749572703
Medio Pollo Superior;43;1;55.37853555072596
Medio Pollo Inferior;43;1;59.63188087573157
Cuarto de Pollo Superior;43;1;59.52950852767027
Muslo Entero;43;1;64.06511788684678
Pechuga Completa;43;1;58.67934843523006
Ala Completa;43;1;93.17243434300342
Media Pechuga;43;1;65.05219130517169
Blanqueta;43;1;107.4742883892089
Alón;43;1;112.88305972823407
Punta;43;1;117.7375674895274
Jamoncito;43;1;90.63763972753704
Medio Muslo;43;1;62.625918627316516
Entero;44;1;52.60028902392685
Medio Pollo;44;1;54.65784749572703
Medio Pollo Superior;44;1;55.37853555072596
Medio Pollo Inferior;44;1;59.63188087573157
Cuarto de Pollo Superior;44;1;59.529508527670274
Muslo Entero;44;1;64.06511788684678
Pechuga Completa;44;1;58.67934843523006
Ala Completa;44;1;93.17243434300342
Media Pechuga;44;1;65.05219130517169
Blanqueta;44;1;107.4742883892089
Alón;44;1;112.88305972823406
Punta;44;1;117.73756748952742
Jamoncito;44;1;90.63763972753705
Medio Muslo;44;1;62.625918627316516
Entero;45;1;52.60028902392685
Medio Pollo;45;1;54.65784749572703
Medio Pollo Superior;45;1;55.37853555072596
Medio Pollo Inferior;45;1;59.631880875731575
Cuarto de Pollo Superior;45;1;59.529508527670274
Muslo Entero;45;1;64.06511788684678
Pechuga Completa;45;1;58.67934843523006
Ala Completa;45;1;93.17243434300342
Media Pechuga;45;1;65.05219130517169
Blanqueta;45;1;107.4742883892089
Alón;45;1;112.88305972823406
Punta;45;1;117.73756748952742
Jamoncito;45;1;90.63763972753705
Medio Muslo;45;1;62.625918627316516
Entero;46;1;52.60028902392685
Medio Pollo;46;1;54.65784749572703
Medio Pollo Superior;46;1;55.37853555072596
Medio Pollo Inferior;46;1;59.63188087573157
Cuarto de Pollo Superior;46;1;59.529508527670274
Muslo Entero;46;1;64.06511788684678
Pechuga Completa;46;1;58.67934843523006
Ala Completa;46;1;93.17243434300342
Media Pechuga;46;1;65.05219130517169
Blanqueta;46;1;107.4742883892089
Alón;46;1;112.88305972823406
Punta;46;1;117.73756748952742
Jamoncito;46;1;90.63763972753706
Medio Muslo;46;1;62.625918627316516
Entero;47;1;52.60028902392685
Medio Pollo;47;1;54.65784749572703
Medio Pollo Superior;47;1;55.37853555072596
Medio Pollo Inferior;47;1;59.63188087573157
Cuarto de Pollo Superior;47;1;59.529508527670274
Muslo Entero;47;1;64.06511788684678
Pechuga Completa;47;1;58.67934843523006
Ala Completa;47;1;93.17243434300342
Media Pechuga;47;1;65.0521913051717
Blanqueta;47;1;107.4742883892089
Alón;47;1;112.88305972823404
Punta;47;1;117.73756748952742
Jamoncito;47;1;90.63763972753706
Medio Muslo;47;1;62.625918627316516
Entero;48;1;52.600289023926855
Medio Pollo;48;1;54.65784749572703
Medio Pollo Superior;48;1;55.37853555072596
Medio Pollo Inferior;48;1;59.63188087573157
Cuarto de Pollo Superior;48;1;59.529508527670274
Muslo Entero;48;1;64.06511788684678
Pechuga Completa;48;1;58.67934843523006
Ala Completa;48;1;93.17243434300342
Media Pechuga;48;1;65.0521913051717
Blanqueta;48;1;107.47428838920891
Alón;48;1;112.88305972823404
Punta;48;1;117.73756748952742
Jamoncito;48;1;90.63763972753706
Medio Muslo;48;1;62.625918627316516
Entero;49;1;52.600289023926855
Medio Pollo;49;1;54.65784749572703
