f;t;r;value
Entero;1;1;0.0
Medio Pollo;1;1;1.0
Medio Pollo Superior;1;1;7.0
Medio Pollo Inferior;1;1;8.0
Cuarto de Pollo Superior;1;1;17.0
Muslo Entero;1;1;15.0
Pechuga Completa;1;1;40.0
Ala Completa;1;1;20.0
Media Pechuga;1;1;45.0
Blanqueta;1;1;0.0
Alón;1;1;0.0
Punta;1;1;0.0
Jamoncito;1;1;16.0
Medio Muslo;1;1;21.0
Entero;2;1;0.0
Medio Pollo;2;1;2.0
Medio Pollo Superior;2;1;56.877538576903106
Medio Pollo Inferior;2;1;16.0
Cuarto de Pollo Superior;2;1;125.16775044228234
Muslo Entero;2;1;140.7814003381883
Pechuga Completa;2;1;295.3559115928924
Ala Completa;2;1;173.5195659108987
Media Pechuga;2;1;208.3204642342074
Blanqueta;2;1;0.0
Alón;2;1;0.0
Punta;2;1;0.0
Jamoncito;2;1;32.0
Medio Muslo;2;1;403.41141677319774
Entero;3;1;0.0
Medio Pollo;3;1;2.0
Medio Pollo Superior;3;1;14.0
Medio Pollo Inferior;3;1;88.08162944653208
Cuarto de Pollo Superior;3;1;52.96351429349892
Muslo Entero;3;1;267.4695572478597
Pechuga Completa;3;1;325.3197850728334
Ala Completa;3;1;292.02118810106833
Media Pechuga;3;1;608.7176144865097
Blanqueta;3;1;0.0
Alón;3;1;0.0
Punta;3;1;0.0
Jamoncito;3;1;32.0
Medio Muslo;3;1;49.731414535871636
Entero;4;1;0.0
Medio Pollo;4;1;2.0
Medio Pollo Superior;4;1;14.0
Medio Pollo Inferior;4;1;28.51941189619191
Cuarto de Pollo Superior;4;1;200.49509219858885
Muslo Entero;4;1;195.6346611449357
Pechuga Completa;4;1;632.5909944145151
Ala Completa;4;1;286.8286147024253
Media Pechuga;4;1;717.9546757586187
Blanqueta;4;1;0.0
Alón;4;1;0.0
Punta;4;1;0.0
Jamoncito;4;1;32.0
Medio Muslo;4;1;42.0
Entero;5;1;0.0
Medio Pollo;5;1;4.830716797839608
Medio Pollo Superior;5;1;14.0
Medio Pollo Inferior;5;1;16.0
Cuarto de Pollo Superior;5;1;75.62107936073204
Muslo Entero;5;1;182.9490053256702
Pechuga Completa;5;1;665.2952745565981
Ala Completa;5;1;384.541291730023
Media Pechuga;5;1;821.7105178541109
Blanqueta;5;1;0.0
Alón;5;1;0.0
Punta;5;1;0.0
Jamoncito;5;1;32.0
Medio Muslo;5;1;384.9629771880135
Entero;6;1;0.0
Medio Pollo;6;1;8.925732166088986
Medio Pollo Superior;6;1;14.0
Medio Pollo Inferior;6;1;16.0
Cuarto de Pollo Superior;6;1;32.0
Muslo Entero;6;1;200.01295314383395
Pechuga Completa;6;1;775.3319261069807
Ala Completa;6;1;519.028294015789
Media Pechuga;6;1;1133.613521515554
Blanqueta;6;1;0.0
Alón;6;1;0.0
Punta;6;1;0.0
Jamoncito;6;1;81.34905104310877
Medio Muslo;6;1;194.24544398999376
Entero;7;1;0.0
Medio Pollo;7;1;6.573126475860299
Medio Pollo Superior;7;1;72.58815139763576
Medio Pollo Inferior;7;1;26.880267425803083
Cuarto de Pollo Superior;7;1;32.0
Muslo Entero;7;1;342.30331203232146
Pechuga Completa;7;1;527.6498868844511
Ala Completa;7;1;584.6040738176041
Media Pechuga;7;1;1078.8012518992373
Blanqueta;7;1;0.0
Alón;7;1;0.0
Punta;7;1;0.0
Jamoncito;7;1;57.7260328434802
Medio Muslo;7;1;95.49173245118652
Entero;8;1;0.0
Medio Pollo;8;1;8.433326865371024
Medio Pollo Superior;8;1;15.069717563092894
Medio Pollo Inferior;8;1;39.381203911662965
Cuarto de Pollo Superior;8;1;54.89747311623813
Muslo Entero;8;1;486.97893785394604
Pechuga Completa;8;1;779.063831357906
Ala Completa;8;1;739.5280247903524
Media Pechuga;8;1;1483.1499396707668
Blanqueta;8;1;0.0
Alón;8;1;0.0
Punta;8;1;0.0
Jamoncito;8;1;225.9063713825982
Medio Muslo;8;1;382.1184183540224
Entero;9;1;0.0
Medio Pollo;9;1;12.391250333136368
Medio Pollo Superior;9;1;14.0
Medio Pollo Inferior;9;1;65.03383266185179
Cuarto de Pollo Superior;9;1;144.37218564104944
Muslo Entero;9;1;540.6470404786958
Pechuga Completa;9;1;1091.9060653353524
Ala Completa;9;1;660.8857485576955
Media Pechuga;9;1;1892.6792020543558
Blanqueta;9;1;0.0
Alón;9;1;0.0
Punta;9;1;0.0
Jamoncito;9;1;201.201823102939
Medio Muslo;9;1;124.29674470068312
Entero;10;1;0.0
Medio Pollo;10;1;10.997577028144217
Medio Pollo Superior;10;1;100.60721949748122
Medio Pollo Inferior;10;1;128.843182257966
Cuarto de Pollo Superior;10;1;72.25770574784968
Muslo Entero;10;1;667.1945233474946
Pechuga Completa;10;1;1004.5114628091761
Ala Completa;10;1;681.4861193959889
Media Pechuga;10;1;1565.640714676357
Blanqueta;10;1;0.0
Alón;10;1;0.0
Punta;10;1;0.0
Jamoncito;10;1;307.811778784022
Medio Muslo;10;1;42.0
Entero;11;1;0.0
Medio Pollo;11;1;8.530463643289613
