f;t;r;value
Entero;1;1;0.0
Medio Pollo;1;1;9.0
Medio Pollo Superior;1;1;164.99342916503238
Medio Pollo Inferior;1;1;205.06451612903226
Cuarto de Pollo Superior;1;1;344.4774108480403
Muslo Entero;1;1;304.7992448231021
Pechuga Completa;1;1;552.9666690522689
Ala Completa;1;1;242.0610792503916
Media Pechuga;1;1;987.2601809270828
Blanqueta;1;1;0.0
Alón;1;1;0.0
Punta;1;1;0.0
Jamoncito;1;1;528.5376344086021
Medio Muslo;1;1;582.4057875278775
Entero;2;1;0.0
Medio Pollo;2;1;10.0
Medio Pollo Superior;2;1;257.7485063188386
Medio Pollo Inferior;2;1;140.98288668250018
Cuarto de Pollo Superior;2;1;524.849397439106
Muslo Entero;2;1;303.89248825161894
Pechuga Completa;2;1;778.3587071652204
Ala Completa;2;1;277.07902297112065
Media Pechuga;2;1;750.183494908988
Blanqueta;2;1;0.0
Alón;2;1;0.0
Punta;2;1;0.0
Jamoncito;2;1;544.5376344086021
Medio Muslo;2;1;1318.4972065384013
Entero;3;1;0.0
Medio Pollo;3;1;10.0
Medio Pollo Superior;3;1;214.8709677419355
Medio Pollo Inferior;3;1;272.6267336793724
Cuarto de Pollo Superior;3;1;305.1135833852327
Muslo Entero;3;1;502.41554126421437
Pechuga Completa;3;1;501.0513713034797
Ala Completa;3;1;400.7732185599334
Media Pechuga;3;1;1041.3435838891812
Blanqueta;3;1;0.0
Alón;3;1;0.0
Punta;3;1;0.0
Jamoncito;3;1;544.5376344086021
Medio Muslo;3;1;972.5486188369468
Entero;4;1;0.0
Medio Pollo;4;1;7.169283202160392
Medio Pollo Superior;4;1;215.45161290322582
Medio Pollo Inferior;4;1;225.58392802522417
Cuarto de Pollo Superior;4;1;577.1351853155945
Muslo Entero;4;1;443.04265501638776
Pechuga Completa;4;1;775.1311030781397
Ala Completa;4;1;297.8295929767567
Media Pechuga;4;1;1047.0534672866506
Blanqueta;4;1;0.0
Alón;4;1;0.0
Punta;4;1;0.0
Jamoncito;4;1;544.6129032258065
Medio Muslo;4;1;621.9427851061006
Entero;5;1;0.0
Medio Pollo;5;1;5.576929929986699
Medio Pollo Superior;5;1;215.45161290322582
Medio Pollo Inferior;5;1;213.06451612903226
Cuarto de Pollo Superior;5;1;496.0695843023492
Muslo Entero;5;1;413.30806126979485
Pechuga Completa;5;1;698.2859290947787
Ala Completa;5;1;261.0936428755242
Media Pechuga;5;1;838.677641499847
Blanqueta;5;1;0.0
Alón;5;1;0.0
Punta;5;1;0.0
Jamoncito;5;1;495.329622551869
Medio Muslo;5;1;1155.8638559090928
Entero;6;1;0.0
Medio Pollo;6;1;12.352605690228687
Medio Pollo Superior;6;1;156.71936052403203
Medio Pollo Inferior;6;1;202.18424870322917
Cuarto de Pollo Superior;6;1;452.35483870967744
Muslo Entero;6;1;288.29028627280286
Pechuga Completa;6;1;1056.004619867691
Ala Completa;6;1;329.962349916888
Media Pechuga;6;1;1205.1296135729808
Blanqueta;6;1;0.0
Alón;6;1;0.0
Punta;6;1;0.0
Jamoncito;6;1;568.1606526082298
Medio Muslo;6;1;1063.5709158398824
Entero;7;1;0.0
Medio Pollo;7;1;8.139799610489275
Medio Pollo Superior;7;1;273.1502658266913
Medio Pollo Inferior;7;1;200.97373011278995
Cuarto de Pollo Superior;7;1;429.7476881740845
Muslo Entero;7;1;285.6165178065275
Pechuga Completa;7;1;556.5588191891868
Ala Completa;7;1;240.59468524904418
Media Pechuga;7;1;746.2319573897609
Blanqueta;7;1;0.0
Alón;7;1;0.0
Punta;7;1;0.0
Jamoncito;7;1;376.3572958694835
Medio Muslo;7;1;678.1905183982393
Entero;8;1;31.0
Medio Pollo;8;1;96.39711594238939
Medio Pollo Superior;8;1;412.71908731992266
Medio Pollo Inferior;8;1;275.7152832612379
Cuarto de Pollo Superior;8;1;490.6432552302139
Muslo Entero;8;1;462.51966156201894
Pechuga Completa;8;1;592.1887779343463
Ala Completa;8;1;655.1127349697978
Media Pechuga;8;1;838.324222071913
Blanqueta;8;1;0.0
Alón;8;1;0.0
Punta;8;1;0.0
Jamoncito;8;1;647.6429175462002
Medio Muslo;8;1;1159.7598817359321
Entero;9;1;2.2703859735767553
Medio Pollo;9;1;146.9443785242109
Medio Pollo Superior;9;1;209.13259015142916
Medio Pollo Inferior;9;1;200.10337265780578
Cuarto de Pollo Superior;9;1;677.2177938754561
Muslo Entero;9;1;354.0203895420243
Pechuga Completa;9;1;1040.85860897964
Ala Completa;9;1;492.94246847636845
Media Pechuga;9;1;1638.4669784909327
Blanqueta;9;1;0.0
Alón;9;1;0.0
Punta;9;1;0.0
Jamoncito;9;1;477.9151161489491
Medio Muslo;9;1;979.8709677419354
Entero;10;1;0.0
Medio Pollo;10;1;107.91988710053467
Medio Pollo Superior;10;1;408.07354303405873
Medio Pollo Inferior;10;1;198.62221500690376
Cuarto de Pollo Superior;10;1;328.5382880339587
Muslo Entero;10;1;377.04517920493635
Pechuga Completa;10;1;814.4922273016588
Ala Completa;10;1;330.6365728428367
Media Pechuga;10;1;1143.3945373663933
Blanqueta;10;1;0.0
Alón;10;1;0.0
Punta;10;1;0.0
Jamoncito;10;1;465.474750235432
Medio Muslo;10;1;911.5868253975582
Entero;11;1;0.0
