k;t;r;value
p1;1;1;0.0
p2;1;1;0.0
p3;1;1;18.0
p4;1;1;0.0
p5;1;1;0.0
p6;1;1;0.0
p7;1;1;743.0
p8;1;1;0.0
p9;1;1;0.0
p10;1;1;0.0
p11;1;1;0.0
p12;1;1;0.0
p13;1;1;0.0
p14;1;1;0.0
p15;1;1;489.0
p16;1;1;0.0
p17;1;1;358.0
p18;1;1;0.0
p19;1;1;0.0
p20;1;1;0.0
p21;1;1;1800.0
p22;1;1;0.0
p23;1;1;-0.0
p24;1;1;1353.0
p25;1;1;0.0
p26;1;1;0.0
p27;1;1;239.0
p28;1;1;0.0
p1;2;1;0.0
p2;2;1;0.0
p3;2;1;18.0
p4;2;1;0.0
p5;2;1;0.0
p6;2;1;0.0
p7;2;1;743.0
p8;2;1;0.0
p9;2;1;0.0
p10;2;1;0.0
p11;2;1;0.0
p12;2;1;0.0
p13;2;1;0.0
p14;2;1;0.0
p15;2;1;489.0
p16;2;1;0.0
p17;2;1;358.0
p18;2;1;0.0
p19;2;1;0.0
p20;2;1;0.0
p21;2;1;1800.0
p22;2;1;0.0
p23;2;1;-0.0
p24;2;1;1353.0
p25;2;1;0.0
p26;2;1;0.0
p27;2;1;239.0
p28;2;1;0.0
p1;3;1;0.0
p2;3;1;0.0
p3;3;1;18.0
p4;3;1;0.0
p5;3;1;0.0
p6;3;1;0.0
p7;3;1;743.0
p8;3;1;0.0
p9;3;1;0.0
p10;3;1;0.0
p11;3;1;0.0
p12;3;1;0.0
p13;3;1;0.0
p14;3;1;0.0
p15;3;1;489.0
p16;3;1;0.0
p17;3;1;358.0
p18;3;1;0.0
p19;3;1;0.0
p20;3;1;0.0
p21;3;1;1800.0
p22;3;1;0.0
p23;3;1;-0.0
p24;3;1;1353.0
p25;3;1;0.0
p26;3;1;0.0
p27;3;1;239.0
p28;3;1;0.0
p1;4;1;0.0
p2;4;1;0.0
p3;4;1;17.0
p4;4;1;0.0
p5;4;1;0.0
p6;4;1;0.0
p7;4;1;743.0
p8;4;1;0.0
p9;4;1;0.0
p10;4;1;0.0
p11;4;1;0.0
p12;4;1;0.0
p13;4;1;0.0
p14;4;1;1.0
p15;4;1;489.0
p16;4;1;0.0
p17;4;1;359.0
p18;4;1;0.0
p19;4;1;0.0
p20;4;1;0.0
p21;4;1;1800.0
p22;4;1;0.0
p23;4;1;-0.0
p24;4;1;1352.0
p25;4;1;0.0
p26;4;1;0.0
p27;4;1;239.0
p28;4;1;0.0
p1;5;1;0.0
p2;5;1;0.0
p3;5;1;17.0
p4;5;1;0.0
p5;5;1;0.0
p6;5;1;0.0
p7;5;1;743.0
p8;5;1;0.0
p9;5;1;0.0
p10;5;1;0.0
p11;5;1;0.0
p12;5;1;0.0
p13;5;1;0.0
p14;5;1;0.0
p15;5;1;489.0
p16;5;1;0.0
p17;5;1;359.0
p18;5;1;0.0
p19;5;1;0.0
p20;5;1;0.0
p21;5;1;1800.0
p22;5;1;0.0
p23;5;1;-0.0
p24;5;1;1353.0
p25;5;1;0.0
p26;5;1;0.0
p27;5;1;239.0
p28;5;1;0.0
p1;6;1;0.0
p2;6;1;0.0
p3;6;1;17.0
p4;6;1;0.0
p5;6;1;0.0
p6;6;1;0.0
p7;6;1;743.0
p8;6;1;0.0
p9;6;1;0.0
p10;6;1;0.0
