f;t;r;value
Entero;1;1;0.0
Medio Pollo;1;1;11.685820797340828
Medio Pollo Superior;1;1;164.99342916503238
Medio Pollo Inferior;1;1;247.67239986260773
Cuarto de Pollo Superior;1;1;344.4774108480403
Muslo Entero;1;1;304.7992448231021
Pechuga Completa;1;1;552.9666690522689
Ala Completa;1;1;242.0610792503916
Media Pechuga;1;1;987.2601809270828
Blanqueta;1;1;0.0
Alón;1;1;0.0
Punta;1;1;0.0
Jamoncito;1;1;558.4215089285653
Medio Muslo;1;1;582.4057875278775
Entero;2;1;0.0
Medio Pollo;2;1;12.004081887127994
Medio Pollo Superior;2;1;268.26561774416035
Medio Pollo Inferior;2;1;140.98288668250018
Cuarto de Pollo Superior;2;1;524.849397439106
Muslo Entero;2;1;303.89248825161894
Pechuga Completa;2;1;778.3587071652204
Ala Completa;2;1;277.07902297112065
Media Pechuga;2;1;750.183494908988
Blanqueta;2;1;0.0
Alón;2;1;0.0
Punta;2;1;0.0
Jamoncito;2;1;566.4343654587558
Medio Muslo;2;1;1318.4972065384013
Entero;3;1;0.0
Medio Pollo;3;1;11.23033672804866
Medio Pollo Superior;3;1;232.01307603433023
Medio Pollo Inferior;3;1;272.6267336793724
Cuarto de Pollo Superior;3;1;305.1135833852327
Muslo Entero;3;1;502.41554126421437
Pechuga Completa;3;1;501.0513713034797
Ala Completa;3;1;400.7732185599334
Media Pechuga;3;1;1041.3435838891812
Blanqueta;3;1;0.0
Alón;3;1;0.0
Punta;3;1;0.0
Jamoncito;3;1;707.7713666077441
Medio Muslo;3;1;1257.4181685670067
Entero;4;1;0.0
Medio Pollo;4;1;7.169283202160392
Medio Pollo Superior;4;1;261.4755754932618
Medio Pollo Inferior;4;1;282.9078624000516
Cuarto de Pollo Superior;4;1;577.5191741281794
Muslo Entero;4;1;443.26630098055585
Pechuga Completa;4;1;775.6183005030783
Ala Completa;4;1;297.86796813369256
Media Pechuga;4;1;1046.824803065798
Blanqueta;4;1;0.0
Alón;4;1;0.0
Punta;4;1;0.0
Jamoncito;4;1;715.1409651322112
Medio Muslo;4;1;621.8542271130617
Entero;5;1;0.0
Medio Pollo;5;1;5.904984631750622
Medio Pollo Superior;5;1;227.02174432219786
Medio Pollo Inferior;5;1;248.94634526037373
Cuarto de Pollo Superior;5;1;584.6541914077271
Muslo Entero;5;1;413.5166973431266
Pechuga Completa;5;1;698.2859290947787
Ala Completa;5;1;261.0936428755242
Media Pechuga;5;1;838.677641499847
Blanqueta;5;1;0.0
Alón;5;1;0.0
Punta;5;1;0.0
Jamoncito;5;1;495.18858336549334
Medio Muslo;5;1;1155.534737499095
Entero;6;1;0.0
Medio Pollo;6;1;12.352605690228687
Medio Pollo Superior;6;1;156.28281634429973
Medio Pollo Inferior;6;1;202.18424870322917
Cuarto de Pollo Superior;6;1;585.7934303321011
Muslo Entero;6;1;288.29028627280286
Pechuga Completa;6;1;1056.004619867691
Ala Completa;6;1;330.0048653594753
Media Pechuga;6;1;1205.392914777607
Blanqueta;6;1;0.0
Alón;6;1;0.0
Punta;6;1;0.0
Jamoncito;6;1;568.1606526082307
Medio Muslo;6;1;1063.5709158398824
Entero;7;1;0.0
Medio Pollo;7;1;8.139799610489275
Medio Pollo Superior;7;1;272.38940157647835
Medio Pollo Inferior;7;1;200.56357964317237
Cuarto de Pollo Superior;7;1;429.7476881740845
Muslo Entero;7;1;285.9050193396658
Pechuga Completa;7;1;556.9086361717065
Ala Completa;7;1;240.65669418854188
Media Pechuga;7;1;746.2319573897609
Blanqueta;7;1;0.0
Alón;7;1;0.0
Punta;7;1;0.0
Jamoncito;7;1;376.3572958694841
Medio Muslo;7;1;678.1905183982393
Entero;8;1;0.0
Medio Pollo;8;1;6.042076532234656
Medio Pollo Superior;8;1;234.36623002108945
Medio Pollo Inferior;8;1;187.41188737884343
Cuarto de Pollo Superior;8;1;363.1704487655113
Muslo Entero;8;1;376.9125425365407
Pechuga Completa;8;1;495.4803466677149
Ala Completa;8;1;474.22292139394733
Media Pechuga;8;1;741.0513827777012
Blanqueta;8;1;0.0
Alón;8;1;0.0
Punta;8;1;0.0
Jamoncito;8;1;569.2421826882613
Medio Muslo;8;1;1222.6388779544145
Entero;9;1;0.0
Medio Pollo;9;1;11.39367330499215
Medio Pollo Superior;9;1;128.26374824445426
Medio Pollo Inferior;9;1;149.25516653291805
Cuarto de Pollo Superior;9;1;524.7596411835224
Muslo Entero;9;1;304.0331622924915
Pechuga Completa;9;1;895.7171831713376
Ala Completa;9;1;374.9802743229968
Media Pechuga;9;1;1477.619132539289
Blanqueta;9;1;0.0
Alón;9;1;0.0
Punta;9;1;0.0
Jamoncito;9;1;437.9276787275191
Medio Muslo;9;1;1129.647055332179
Entero;10;1;0.0
Medio Pollo;10;1;12.467113384854605
Medio Pollo Superior;10;1;272.05325414612287
Medio Pollo Inferior;10;1;164.12528775550436
Cuarto de Pollo Superior;10;1;267.0914778032692
Muslo Entero;10;1;342.23937001924133
Pechuga Completa;10;1;721.6627694256889
Ala Completa;10;1;264.99258123888694
Media Pechuga;10;1;1052.4144638471232
Blanqueta;10;1;0.0
Alón;10;1;0.0
Punta;10;1;0.0
Jamoncito;10;1;445.42977598163094
Medio Muslo;10;1;866.13687811652
Entero;11;1;0.0
Medio Pollo;11;1;11.624746652665172
Medio Pollo Superior;11;1;193.4996516933519
Medio Pollo Inferior;11;1;139.03209546584077
Cuarto de Pollo Superior;11;1;341.8935416333445
Muslo Entero;11;1;403.69472068079085
Pechuga Completa;11;1;544.4968693509487
Ala Completa;11;1;353.1324645959722
Media Pechuga;11;1;795.83813127396
Blanqueta;11;1;0.0
Alón;11;1;0.0
Punta;11;1;0.0
Jamoncito;11;1;417.0903853189385
Medio Muslo;11;1;829.0662178389637
Entero;12;1;0.0
Medio Pollo;12;1;6.543242480634551
Medio Pollo Superior;12;1;169.4805772470891
Medio Pollo Inferior;12;1;259.0403339413904
Cuarto de Pollo Superior;12;1;607.7250229604841
Muslo Entero;12;1;275.3617518262143
Pechuga Completa;12;1;888.8797299993283
Ala Completa;12;1;298.16204412742945
Media Pechuga;12;1;888.6617487165969
Blanqueta;12;1;0.0
Alón;12;1;0.0
Punta;12;1;0.0
Jamoncito;12;1;568.0184243001178
Medio Muslo;12;1;608.929914746986
Entero;13;1;0.0
Medio Pollo;13;1;10.077681751118218
Medio Pollo Superior;13;1;134.90439386668294
Medio Pollo Inferior;13;1;160.89661141768738
Cuarto de Pollo Superior;13;1;362.0056176942174
Muslo Entero;13;1;392.3345186182792
Pechuga Completa;13;1;1033.7898464448958
Ala Completa;13;1;234.1821988091527
Media Pechuga;13;1;1485.6768824483956
Blanqueta;13;1;0.0
Alón;13;1;0.0
Punta;13;1;0.0
Jamoncito;13;1;606.3850319617225
Medio Muslo;13;1;1283.7611166669906
Entero;14;1;0.0
Medio Pollo;14;1;5.789453679445133
Medio Pollo Superior;14;1;280.6382542771669
Medio Pollo Inferior;14;1;129.29572012889403
Cuarto de Pollo Superior;14;1;467.7316672191719
Muslo Entero;14;1;302.2144299930323
Pechuga Completa;14;1;618.2266795114616
Ala Completa;14;1;287.8786338516805
Media Pechuga;14;1;1118.083084990009
Blanqueta;14;1;0.0
Alón;14;1;0.0
Punta;14;1;0.0
Jamoncito;14;1;555.1613690431515
Medio Muslo;14;1;944.6747943122269
Entero;15;1;60.64574927419111
Medio Pollo;15;1;133.90966151484247
Medio Pollo Superior;15;1;416.5963082032501
Medio Pollo Inferior;15;1;347.3510136336557
Cuarto de Pollo Superior;15;1;671.432210800999
Muslo Entero;15;1;535.4944763455866
Pechuga Completa;15;1;950.0490505666671
Ala Completa;15;1;710.8585971114378
Media Pechuga;15;1;1039.275117809068
Blanqueta;15;1;0.0
Alón;15;1;0.0
Punta;15;1;0.0
Jamoncito;15;1;705.8179052468604
Medio Muslo;15;1;665.6578740411705
Entero;16;1;30.91211120859504
Medio Pollo;16;1;149.02268344419917
Medio Pollo Superior;16;1;318.2407474702534
Medio Pollo Inferior;16;1;287.8400536782426
Cuarto de Pollo Superior;16;1;589.4456663741754
Muslo Entero;16;1;578.8493166382797
Pechuga Completa;16;1;1160.04730211186
Ala Completa;16;1;507.86441166768805
Media Pechuga;16;1;1728.2498779169189
Blanqueta;16;1;0.0
Alón;16;1;0.0
Punta;16;1;0.0
Jamoncito;16;1;792.3370152386067
Medio Muslo;16;1;1135.4812872004002
Entero;17;1;15.85091411025037
Medio Pollo;17;1;178.7306773092885
Medio Pollo Superior;17;1;293.5652149987142
Medio Pollo Inferior;17;1;281.05137294667094
Cuarto de Pollo Superior;17;1;742.5450973760942
Muslo Entero;17;1;333.57790289508256
Pechuga Completa;17;1;925.5459598197563
Ala Completa;17;1;473.0934267660175
Media Pechuga;17;1;1528.6449872202852
Blanqueta;17;1;0.0
Alón;17;1;0.0
Punta;17;1;0.0
Jamoncito;17;1;858.3569434916458
Medio Muslo;17;1;673.4607367512571
Entero;18;1;0.0
Medio Pollo;18;1;64.06013057668743
Medio Pollo Superior;18;1;412.3012549829943
Medio Pollo Inferior;18;1;241.28953558044117
Cuarto de Pollo Superior;18;1;681.5471740463962
Muslo Entero;18;1;425.2535507964002
Pechuga Completa;18;1;926.7186778425704
Ala Completa;18;1;331.5237305158824
Media Pechuga;18;1;855.2368728531908
Blanqueta;18;1;0.0
Alón;18;1;0.0
Punta;18;1;0.0
Jamoncito;18;1;711.3838732530141
Medio Muslo;18;1;1232.5802067664904
Entero;19;1;0.0
Medio Pollo;19;1;72.20956831246353
Medio Pollo Superior;19;1;241.3771412326628
Medio Pollo Inferior;19;1;206.68528645700786
Cuarto de Pollo Superior;19;1;335.50812052171017
Muslo Entero;19;1;422.3443703538775
Pechuga Completa;19;1;943.2864838823367
Ala Completa;19;1;545.6325496441203
Media Pechuga;19;1;1166.958869921047
Blanqueta;19;1;0.0
Alón;19;1;0.0
Punta;19;1;0.0
Jamoncito;19;1;744.7229913707607
Medio Muslo;19;1;837.1326745238125
Entero;20;1;0.0
Medio Pollo;20;1;34.8156009240873
Medio Pollo Superior;20;1;216.67080270196186
Medio Pollo Inferior;20;1;277.49160503855654
Cuarto de Pollo Superior;20;1;505.01858491245804
Muslo Entero;20;1;269.5645276357776
Pechuga Completa;20;1;986.3054501023325
Ala Completa;20;1;483.96142366821
Media Pechuga;20;1;1049.1038723224997
Blanqueta;20;1;0.0
Alón;20;1;0.0
Punta;20;1;0.0
Jamoncito;20;1;505.63173764883635
Medio Muslo;20;1;1298.9407982326622
Entero;21;1;0.0
Medio Pollo;21;1;25.185319387009187
Medio Pollo Superior;21;1;207.44376090271405
Medio Pollo Inferior;21;1;208.39479905210572
Cuarto de Pollo Superior;21;1;289.55104787175804
Muslo Entero;21;1;253.3521959724596
Pechuga Completa;21;1;763.3279394853414
Ala Completa;21;1;436.0932218967932
Media Pechuga;21;1;1419.3491304383467
Blanqueta;21;1;0.0
Alón;21;1;0.0
Punta;21;1;0.0
Jamoncito;21;1;437.4479675191461
Medio Muslo;21;1;1092.3067929728877
Entero;22;1;0.0
Medio Pollo;22;1;17.15888035354505
Medio Pollo Superior;22;1;238.78287990377504
Medio Pollo Inferior;22;1;165.54617205170285
Cuarto de Pollo Superior;22;1;472.3699189657162
Muslo Entero;22;1;389.65369852314876
Pechuga Completa;22;1;917.5922553440164
Ala Completa;22;1;437.0521750201257
Media Pechuga;22;1;995.1098437616738
Blanqueta;22;1;0.0
Alón;22;1;0.0
Punta;22;1;0.0
Jamoncito;22;1;568.7541388576892
